"subnum","block","trial","cue","flank","location","direction","rt","error","group","age","correctRT"
1,1,24,"Spatial","Incongruent","down","left",310.532415206831,0,"Young",27,310.532415206831
1,1,25,"None","Neutral","up","right",460.991287394736,0,"Young",27,460.991287394736
1,1,26,"Center","Neutral","up","right",377.19356302355,1,"Young",27,NA
1,1,27,"Double","Neutral","up","right",367.210224664734,0,"Young",27,367.210224664734
1,1,28,"Spatial","Neutral","up","right",266.462380805036,0,"Young",27,266.462380805036
1,1,29,"None","Congruent","up","right",406.092497244569,0,"Young",27,406.092497244569
1,1,30,"Center","Congruent","up","right",400.897078009985,0,"Young",27,400.897078009985
1,1,31,"Double","Congruent","up","right",442.933977576452,1,"Young",27,NA
1,1,32,"Spatial","Congruent","up","right",334.86061363285,1,"Young",27,NA
1,1,33,"None","Incongruent","up","right",519.383580577968,1,"Young",27,NA
1,1,34,"Center","Incongruent","up","right",447.309747970855,0,"Young",27,447.309747970855
1,1,35,"Double","Incongruent","up","right",376.14702215857,0,"Young",27,376.14702215857
1,1,36,"Spatial","Incongruent","up","right",389.250271835016,0,"Young",27,389.250271835016
1,1,37,"None","Neutral","down","right",410.285502314483,0,"Young",27,410.285502314483
1,1,38,"Center","Neutral","down","right",377.034330164441,0,"Young",27,377.034330164441
1,1,39,"Double","Neutral","down","right",430.001268599194,0,"Young",27,430.001268599194
1,1,40,"Spatial","Neutral","down","right",378.158787422877,0,"Young",27,378.158787422877
1,1,41,"None","Congruent","down","right",421.773820187321,0,"Young",27,421.773820187321
1,1,42,"Center","Congruent","down","right",367.331915993175,0,"Young",27,367.331915993175
1,1,43,"Double","Congruent","down","right",409.848168770237,1,"Young",27,NA
1,1,44,"Spatial","Congruent","down","right",367.833159933683,0,"Young",27,367.833159933683
1,1,45,"None","Incongruent","down","right",465.562215272524,0,"Young",27,465.562215272524
1,1,46,"Center","Incongruent","down","right",414.625242151894,0,"Young",27,414.625242151894
1,1,47,"Double","Incongruent","down","right",463.229098106842,0,"Young",27,463.229098106842
1,1,48,"Spatial","Incongruent","down","right",448.426646225771,0,"Young",27,448.426646225771
1,2,1,"None","Neutral","up","left",424.382689392489,0,"Young",27,424.382689392489
1,2,2,"Center","Neutral","up","left",424.055386322711,0,"Young",27,424.055386322711
1,2,3,"Double","Neutral","up","left",394.905294018353,0,"Young",27,394.905294018353
1,2,4,"Spatial","Neutral","up","left",309.398680337461,1,"Young",27,NA
1,2,5,"None","Congruent","up","left",447.055984571221,0,"Young",27,447.055984571221
1,2,6,"Center","Congruent","up","left",323.53184519596,0,"Young",27,323.53184519596
1,2,7,"Double","Congruent","up","left",446.651185085052,0,"Young",27,446.651185085052
1,2,8,"Spatial","Congruent","up","left",439.019994925293,0,"Young",27,439.019994925293
1,2,9,"None","Incongruent","up","left",481.638926176675,0,"Young",27,481.638926176675
1,2,10,"Center","Incongruent","up","left",397.793268684173,0,"Young",27,397.793268684173
1,2,11,"Double","Incongruent","up","left",473.485981372121,0,"Young",27,473.485981372121
1,2,12,"Spatial","Incongruent","up","left",403.247269805959,0,"Young",27,403.247269805959
1,2,13,"None","Neutral","down","left",550.080888025239,0,"Young",27,550.080888025239
1,2,14,"Center","Neutral","down","left",378.037999863342,0,"Young",27,378.037999863342
1,2,15,"Double","Neutral","down","left",409.486968122539,0,"Young",27,409.486968122539
1,2,16,"Spatial","Neutral","down","left",341.400107939033,0,"Young",27,341.400107939033
1,2,17,"None","Congruent","down","left",392.83633955588,0,"Young",27,392.83633955588
1,2,18,"Center","Congruent","down","left",389.439614975717,0,"Young",27,389.439614975717
1,2,19,"Double","Congruent","down","left",284.752068555448,0,"Young",27,284.752068555448
1,2,20,"Spatial","Congruent","down","left",413.277743078144,0,"Young",27,413.277743078144
1,2,21,"None","Incongruent","down","left",507.662666910595,0,"Young",27,507.662666910595
1,2,22,"Center","Incongruent","down","left",558.630583518108,0,"Young",27,558.630583518108
1,2,23,"Double","Incongruent","down","left",468.775476444983,0,"Young",27,468.775476444983
1,2,24,"Spatial","Incongruent","down","left",374.502678453909,0,"Young",27,374.502678453909
1,2,25,"None","Neutral","up","right",460.536317674453,0,"Young",27,460.536317674453
1,2,26,"Center","Neutral","up","right",333.295118417787,0,"Young",27,333.295118417787
1,2,27,"Double","Neutral","up","right",312.318329988045,0,"Young",27,312.318329988045
1,2,28,"Spatial","Neutral","up","right",354.572311775873,0,"Young",27,354.572311775873
1,2,29,"None","Congruent","up","right",407.835406339078,0,"Young",27,407.835406339078
1,2,30,"Center","Congruent","up","right",380.055267581581,0,"Young",27,380.055267581581
1,2,31,"Double","Congruent","up","right",378.717066207583,1,"Young",27,NA
1,2,32,"Spatial","Congruent","up","right",310.523952690596,0,"Young",27,310.523952690596
1,2,33,"None","Incongruent","up","right",471.566563359075,0,"Young",27,471.566563359075
1,2,34,"Center","Incongruent","up","right",443.241069243808,0,"Young",27,443.241069243808
1,2,35,"Double","Incongruent","up","right",503.90434982866,0,"Young",27,503.90434982866
1,2,36,"Spatial","Incongruent","up","right",333.821659978512,0,"Young",27,333.821659978512
1,2,37,"None","Neutral","down","right",459.697309381421,0,"Young",27,459.697309381421
1,2,38,"Center","Neutral","down","right",396.647518560676,0,"Young",27,396.647518560676
1,2,39,"Double","Neutral","down","right",428.154991863818,0,"Young",27,428.154991863818
1,2,40,"Spatial","Neutral","down","right",324.790803818285,0,"Young",27,324.790803818285
1,2,41,"None","Congruent","down","right",448.500940495814,0,"Young",27,448.500940495814
1,2,42,"Center","Congruent","down","right",393.354939538612,0,"Young",27,393.354939538612
1,2,43,"Double","Congruent","down","right",347.873998450418,0,"Young",27,347.873998450418
1,2,44,"Spatial","Congruent","down","right",400.393390299159,0,"Young",27,400.393390299159
1,2,45,"None","Incongruent","down","right",558.020130784748,0,"Young",27,558.020130784748
1,2,46,"Center","Incongruent","down","right",485.01068247575,0,"Young",27,485.01068247575
1,2,47,"Double","Incongruent","down","right",524.341672727042,0,"Young",27,524.341672727042
1,2,48,"Spatial","Incongruent","down","right",437.924321278265,0,"Young",27,437.924321278265
1,3,1,"None","Neutral","up","left",366.170389577098,0,"Young",27,366.170389577098
1,3,2,"Center","Neutral","up","left",351.336729288156,0,"Young",27,351.336729288156
1,3,3,"Double","Neutral","up","left",313.769369255082,0,"Young",27,313.769369255082
1,3,4,"Spatial","Neutral","up","left",316.329968178034,0,"Young",27,316.329968178034
1,3,5,"None","Congruent","up","left",398.981666138794,0,"Young",27,398.981666138794
1,3,6,"Center","Congruent","up","left",382.105793657212,0,"Young",27,382.105793657212
1,3,7,"Double","Congruent","up","left",329.453917572378,0,"Young",27,329.453917572378
1,3,8,"Spatial","Congruent","up","left",347.901438620204,0,"Young",27,347.901438620204
1,3,9,"None","Incongruent","up","left",467.270767804059,0,"Young",27,467.270767804059
1,3,10,"Center","Incongruent","up","left",538.364363468632,0,"Young",27,538.364363468632
1,3,11,"Double","Incongruent","up","left",480.83537380086,1,"Young",27,NA
1,3,12,"Spatial","Incongruent","up","left",455.508711474761,0,"Young",27,455.508711474761
1,3,13,"None","Neutral","down","left",449.209267891317,0,"Young",27,449.209267891317
1,3,14,"Center","Neutral","down","left",464.108804025971,0,"Young",27,464.108804025971
1,3,15,"Double","Neutral","down","left",343.213177302551,0,"Young",27,343.213177302551
1,3,16,"Spatial","Neutral","down","left",316.917763481972,0,"Young",27,316.917763481972
1,3,17,"None","Congruent","down","left",501.614111927083,0,"Young",27,501.614111927083
1,3,18,"Center","Congruent","down","left",347.465182334482,0,"Young",27,347.465182334482
1,3,19,"Double","Congruent","down","left",364.630962819902,0,"Young",27,364.630962819902
1,3,20,"Spatial","Congruent","down","left",320.359603527901,1,"Young",27,NA
1,3,21,"None","Incongruent","down","left",484.000356572575,0,"Young",27,484.000356572575
1,3,22,"Center","Incongruent","down","left",436.044334851172,0,"Young",27,436.044334851172
1,3,23,"Double","Incongruent","down","left",469.709416563391,1,"Young",27,NA
1,3,24,"Spatial","Incongruent","down","left",401.13347588652,0,"Young",27,401.13347588652
1,3,25,"None","Neutral","up","right",404.702126894287,1,"Young",27,NA
1,3,26,"Center","Neutral","up","right",447.151941258521,0,"Young",27,447.151941258521
1,3,27,"Double","Neutral","up","right",364.271029572657,0,"Young",27,364.271029572657
1,3,28,"Spatial","Neutral","up","right",331.022173497831,0,"Young",27,331.022173497831
1,3,29,"None","Congruent","up","right",424.990462939322,0,"Young",27,424.990462939322
1,3,30,"Center","Congruent","up","right",415.63331535257,0,"Young",27,415.63331535257
1,3,31,"Double","Congruent","up","right",371.321779793684,0,"Young",27,371.321779793684
1,3,32,"Spatial","Congruent","up","right",338.118291426648,0,"Young",27,338.118291426648
1,3,33,"None","Incongruent","up","right",465.916976062217,0,"Young",27,465.916976062217
1,3,34,"Center","Incongruent","up","right",433.786486387684,0,"Young",27,433.786486387684
1,3,35,"Double","Incongruent","up","right",448.008022021726,0,"Young",27,448.008022021726
1,3,36,"Spatial","Incongruent","up","right",380.555275687017,0,"Young",27,380.555275687017
1,3,37,"None","Neutral","down","right",456.574809631629,0,"Young",27,456.574809631629
1,3,38,"Center","Neutral","down","right",304.080295910661,0,"Young",27,304.080295910661
1,3,39,"Double","Neutral","down","right",390.327893039488,0,"Young",27,390.327893039488
1,3,40,"Spatial","Neutral","down","right",263.177508823121,0,"Young",27,263.177508823121
1,3,41,"None","Congruent","down","right",414.951193658169,0,"Young",27,414.951193658169
1,3,42,"Center","Congruent","down","right",353.58600477775,0,"Young",27,353.58600477775
1,3,43,"Double","Congruent","down","right",342.39526096595,0,"Young",27,342.39526096595
1,3,44,"Spatial","Congruent","down","right",337.15516110763,0,"Young",27,337.15516110763
1,3,45,"None","Incongruent","down","right",404.282028715999,0,"Young",27,404.282028715999
1,3,46,"Center","Incongruent","down","right",508.829165600928,0,"Young",27,508.829165600928
1,3,47,"Double","Incongruent","down","right",361.7513781894,0,"Young",27,361.7513781894
1,3,48,"Spatial","Incongruent","down","right",386.823479926381,0,"Young",27,386.823479926381
1,4,1,"None","Neutral","up","left",374.203994747858,0,"Young",27,374.203994747858
1,4,2,"Center","Neutral","up","left",342.459049940328,0,"Young",27,342.459049940328
1,4,3,"Double","Neutral","up","left",479.358327281417,0,"Young",27,479.358327281417
1,4,4,"Spatial","Neutral","up","left",340.869780984663,0,"Young",27,340.869780984663
1,4,5,"None","Congruent","up","left",365.684973478284,0,"Young",27,365.684973478284
1,4,6,"Center","Congruent","up","left",297.969723279071,0,"Young",27,297.969723279071
1,4,7,"Double","Congruent","up","left",397.509355063633,0,"Young",27,397.509355063633
1,4,8,"Spatial","Congruent","up","left",339.072008364268,0,"Young",27,339.072008364268
1,4,9,"None","Incongruent","up","left",484.096581272808,0,"Young",27,484.096581272808
1,4,10,"Center","Incongruent","up","left",403.531892627315,0,"Young",27,403.531892627315
1,4,11,"Double","Incongruent","up","left",370.626984492926,0,"Young",27,370.626984492926
1,4,12,"Spatial","Incongruent","up","left",356.240385169216,0,"Young",27,356.240385169216
1,4,13,"None","Neutral","down","left",480.001440185696,0,"Young",27,480.001440185696
1,4,14,"Center","Neutral","down","left",348.936665260159,0,"Young",27,348.936665260159
1,4,15,"Double","Neutral","down","left",305.778657630775,0,"Young",27,305.778657630775
1,4,16,"Spatial","Neutral","down","left",433.464531121179,0,"Young",27,433.464531121179
1,4,17,"None","Congruent","down","left",451.255018868622,0,"Young",27,451.255018868622
1,4,18,"Center","Congruent","down","left",368.067644954348,0,"Young",27,368.067644954348
1,4,19,"Double","Congruent","down","left",427.924152435451,0,"Young",27,427.924152435451
1,4,20,"Spatial","Congruent","down","left",384.321132568747,0,"Young",27,384.321132568747
1,4,21,"None","Incongruent","down","left",469.037847588443,0,"Young",27,469.037847588443
1,4,22,"Center","Incongruent","down","left",560.305123227023,0,"Young",27,560.305123227023
1,4,23,"Double","Incongruent","down","left",432.248648492949,0,"Young",27,432.248648492949
1,4,24,"Spatial","Incongruent","down","left",338.77526748936,0,"Young",27,338.77526748936
1,4,25,"None","Neutral","up","right",422.780019902289,1,"Young",27,NA
1,4,26,"Center","Neutral","up","right",390.376916961617,0,"Young",27,390.376916961617
1,4,27,"Double","Neutral","up","right",490.398919952968,0,"Young",27,490.398919952968
1,4,28,"Spatial","Neutral","up","right",345.290118394686,0,"Young",27,345.290118394686
1,4,29,"None","Congruent","up","right",452.849940271171,0,"Young",27,452.849940271171
1,4,30,"Center","Congruent","up","right",376.142353232173,0,"Young",27,376.142353232173
1,4,31,"Double","Congruent","up","right",358.299957881673,0,"Young",27,358.299957881673
1,4,32,"Spatial","Congruent","up","right",338.263698584436,0,"Young",27,338.263698584436
1,4,33,"None","Incongruent","up","right",539.381980281508,0,"Young",27,539.381980281508
1,4,34,"Center","Incongruent","up","right",553.762250432614,0,"Young",27,553.762250432614
1,4,35,"Double","Incongruent","up","right",496.369621938188,0,"Young",27,496.369621938188
1,4,36,"Spatial","Incongruent","up","right",470.395419919335,0,"Young",27,470.395419919335
1,4,37,"None","Neutral","down","right",368.433828922098,1,"Young",27,NA
1,4,38,"Center","Neutral","down","right",429.194778502669,0,"Young",27,429.194778502669
1,4,39,"Double","Neutral","down","right",385.996240183033,0,"Young",27,385.996240183033
1,4,40,"Spatial","Neutral","down","right",266.637498545388,0,"Young",27,266.637498545388
1,4,41,"None","Congruent","down","right",456.051137132407,1,"Young",27,NA
1,4,42,"Center","Congruent","down","right",372.062269764199,0,"Young",27,372.062269764199
1,4,43,"Double","Congruent","down","right",448.22936559849,0,"Young",27,448.22936559849
1,4,44,"Spatial","Congruent","down","right",301.695900019767,0,"Young",27,301.695900019767
1,4,45,"None","Incongruent","down","right",478.489412303573,0,"Young",27,478.489412303573
1,4,46,"Center","Incongruent","down","right",403.694525131128,0,"Young",27,403.694525131128
1,4,47,"Double","Incongruent","down","right",436.144801928173,0,"Young",27,436.144801928173
1,4,48,"Spatial","Incongruent","down","right",430.100588974317,0,"Young",27,430.100588974317
1,5,1,"None","Neutral","up","left",393.41259134402,1,"Young",27,NA
1,5,2,"Center","Neutral","up","left",421.518658399084,0,"Young",27,421.518658399084
1,5,3,"Double","Neutral","up","left",314.595860684777,0,"Young",27,314.595860684777
1,5,4,"Spatial","Neutral","up","left",287.600779359613,0,"Young",27,287.600779359613
1,5,5,"None","Congruent","up","left",502.057885342214,0,"Young",27,502.057885342214
1,5,6,"Center","Congruent","up","left",329.207626734768,0,"Young",27,329.207626734768
1,5,7,"Double","Congruent","up","left",395.598735615876,0,"Young",27,395.598735615876
1,5,8,"Spatial","Congruent","up","left",320.946197444554,0,"Young",27,320.946197444554
1,5,9,"None","Incongruent","up","left",520.470091982547,0,"Young",27,520.470091982547
1,5,10,"Center","Incongruent","up","left",534.443664310202,0,"Young",27,534.443664310202
1,5,11,"Double","Incongruent","up","left",524.329421672099,0,"Young",27,524.329421672099
1,5,12,"Spatial","Incongruent","up","left",393.454609965862,0,"Young",27,393.454609965862
1,5,13,"None","Neutral","down","left",315.738223235377,1,"Young",27,NA
1,5,14,"Center","Neutral","down","left",504.883079491708,0,"Young",27,504.883079491708
1,5,15,"Double","Neutral","down","left",408.353308338275,0,"Young",27,408.353308338275
1,5,16,"Spatial","Neutral","down","left",367.066366798185,1,"Young",27,NA
1,5,17,"None","Congruent","down","left",429.330023842705,0,"Young",27,429.330023842705
1,5,18,"Center","Congruent","down","left",405.505421147646,0,"Young",27,405.505421147646
1,5,19,"Double","Congruent","down","left",366.781208411517,0,"Young",27,366.781208411517
1,5,20,"Spatial","Congruent","down","left",361.034732162726,1,"Young",27,NA
1,5,21,"None","Incongruent","down","left",479.987662801118,0,"Young",27,479.987662801118
1,5,22,"Center","Incongruent","down","left",381.489606122627,1,"Young",27,NA
1,5,23,"Double","Incongruent","down","left",494.391913372744,0,"Young",27,494.391913372744
1,5,24,"Spatial","Incongruent","down","left",485.987251274977,0,"Young",27,485.987251274977
1,5,25,"None","Neutral","up","right",414.562971538719,0,"Young",27,414.562971538719
1,5,26,"Center","Neutral","up","right",317.335512219615,0,"Young",27,317.335512219615
1,5,27,"Double","Neutral","up","right",407.112065283891,0,"Young",27,407.112065283891
1,5,28,"Spatial","Neutral","up","right",337.764543155301,0,"Young",27,337.764543155301
1,5,29,"None","Congruent","up","right",343.339079658758,0,"Young",27,343.339079658758
1,5,30,"Center","Congruent","up","right",380.106592984014,0,"Young",27,380.106592984014
1,5,31,"Double","Congruent","up","right",343.484983303593,0,"Young",27,343.484983303593
1,5,32,"Spatial","Congruent","up","right",322.95157100698,0,"Young",27,322.95157100698
1,5,33,"None","Incongruent","up","right",442.171381868207,0,"Young",27,442.171381868207
1,5,34,"Center","Incongruent","up","right",540.157095395873,0,"Young",27,540.157095395873
1,5,35,"Double","Incongruent","up","right",428.443398180439,0,"Young",27,428.443398180439
1,5,36,"Spatial","Incongruent","up","right",329.724329387346,0,"Young",27,329.724329387346
1,5,37,"None","Neutral","down","right",439.859671936974,0,"Young",27,439.859671936974
1,5,38,"Center","Neutral","down","right",393.158782320274,0,"Young",27,393.158782320274
1,5,39,"Double","Neutral","down","right",325.708664979535,0,"Young",27,325.708664979535
1,5,40,"Spatial","Neutral","down","right",195.553966416023,0,"Young",27,195.553966416023
1,5,41,"None","Congruent","down","right",397.975914871744,0,"Young",27,397.975914871744
1,5,42,"Center","Congruent","down","right",408.525381796024,0,"Young",27,408.525381796024
1,5,43,"Double","Congruent","down","right",372.01383619787,0,"Young",27,372.01383619787
1,5,44,"Spatial","Congruent","down","right",335.091062799738,0,"Young",27,335.091062799738
1,5,45,"None","Incongruent","down","right",528.041036431006,0,"Young",27,528.041036431006
1,5,46,"Center","Incongruent","down","right",390.677068071026,0,"Young",27,390.677068071026
1,5,47,"Double","Incongruent","down","right",499.838852213712,0,"Young",27,499.838852213712
1,5,48,"Spatial","Incongruent","down","right",409.732798586092,0,"Young",27,409.732798586092
1,6,1,"None","Neutral","up","left",465.365533369904,1,"Young",27,NA
1,6,2,"Center","Neutral","up","left",431.705386736873,0,"Young",27,431.705386736873
1,6,3,"Double","Neutral","up","left",386.174020745765,0,"Young",27,386.174020745765
1,6,4,"Spatial","Neutral","up","left",296.064619356699,0,"Young",27,296.064619356699
1,6,5,"None","Congruent","up","left",488.148227798367,0,"Young",27,488.148227798367
1,6,6,"Center","Congruent","up","left",279.991752760726,0,"Young",27,279.991752760726
1,6,7,"Double","Congruent","up","left",347.760462999914,0,"Young",27,347.760462999914
1,6,8,"Spatial","Congruent","up","left",327.216464542151,0,"Young",27,327.216464542151
1,6,9,"None","Incongruent","up","left",491.69394816175,0,"Young",27,491.69394816175
1,6,10,"Center","Incongruent","up","left",501.023195439205,0,"Young",27,501.023195439205
1,6,11,"Double","Incongruent","up","left",451.811094655139,0,"Young",27,451.811094655139
1,6,12,"Spatial","Incongruent","up","left",430.358380171192,0,"Young",27,430.358380171192
1,6,13,"None","Neutral","down","left",426.517259349355,0,"Young",27,426.517259349355
1,6,14,"Center","Neutral","down","left",367.616782919033,0,"Young",27,367.616782919033
1,6,15,"Double","Neutral","down","left",409.777540330982,0,"Young",27,409.777540330982
1,6,16,"Spatial","Neutral","down","left",397.31141786079,0,"Young",27,397.31141786079
1,6,17,"None","Congruent","down","left",309.845189255406,0,"Young",27,309.845189255406
1,6,18,"Center","Congruent","down","left",408.636977762292,0,"Young",27,408.636977762292
1,6,19,"Double","Congruent","down","left",393.736220338933,0,"Young",27,393.736220338933
1,6,20,"Spatial","Congruent","down","left",318.736613922196,0,"Young",27,318.736613922196
1,6,21,"None","Incongruent","down","left",547.550640378841,0,"Young",27,547.550640378841
1,6,22,"Center","Incongruent","down","left",430.538140914081,0,"Young",27,430.538140914081
1,6,23,"Double","Incongruent","down","left",430.783466910021,0,"Young",27,430.783466910021
1,6,24,"Spatial","Incongruent","down","left",452.87048890399,0,"Young",27,452.87048890399
1,6,25,"None","Neutral","up","right",515.98136495603,0,"Young",27,515.98136495603
1,6,26,"Center","Neutral","up","right",393.502745046861,0,"Young",27,393.502745046861
1,6,27,"Double","Neutral","up","right",353.890799510618,0,"Young",27,353.890799510618
1,6,28,"Spatial","Neutral","up","right",280.544335257021,0,"Young",27,280.544335257021
1,6,29,"None","Congruent","up","right",413.448351056049,1,"Young",27,NA
1,6,30,"Center","Congruent","up","right",333.008533674499,0,"Young",27,333.008533674499
1,6,31,"Double","Congruent","up","right",362.053370844061,0,"Young",27,362.053370844061
1,6,32,"Spatial","Congruent","up","right",359.718958411079,0,"Young",27,359.718958411079
1,6,33,"None","Incongruent","up","right",457.407145398807,0,"Young",27,457.407145398807
1,6,34,"Center","Incongruent","up","right",582.458344054744,0,"Young",27,582.458344054744
1,6,35,"Double","Incongruent","up","right",452.800583783254,0,"Young",27,452.800583783254
1,6,36,"Spatial","Incongruent","up","right",466.510363372747,0,"Young",27,466.510363372747
1,6,37,"None","Neutral","down","right",315.543801007995,0,"Young",27,315.543801007995
1,6,38,"Center","Neutral","down","right",417.050057859772,1,"Young",27,NA
1,6,39,"Double","Neutral","down","right",309.187741977422,0,"Young",27,309.187741977422
1,6,40,"Spatial","Neutral","down","right",385.990183880457,0,"Young",27,385.990183880457
1,6,41,"None","Congruent","down","right",449.906507772598,0,"Young",27,449.906507772598
1,6,42,"Center","Congruent","down","right",359.623571036511,1,"Young",27,NA
1,6,43,"Double","Congruent","down","right",441.212931508864,0,"Young",27,441.212931508864
1,6,44,"Spatial","Congruent","down","right",304.938416537654,0,"Young",27,304.938416537654
1,6,45,"None","Incongruent","down","right",470.969284787973,0,"Young",27,470.969284787973
1,6,46,"Center","Incongruent","down","right",399.946390948729,0,"Young",27,399.946390948729
1,6,47,"Double","Incongruent","down","right",411.59106966233,0,"Young",27,411.59106966233
1,6,48,"Spatial","Incongruent","down","right",457.259247668654,0,"Young",27,457.259247668654
2,1,1,"None","Neutral","up","left",451.685107477258,0,"Young",26,451.685107477258
2,1,2,"Center","Neutral","up","left",430.257960883852,0,"Young",26,430.257960883852
2,1,3,"Double","Neutral","up","left",355.494066797316,0,"Young",26,355.494066797316
2,1,4,"Spatial","Neutral","up","left",358.818514588732,0,"Young",26,358.818514588732
2,1,5,"None","Congruent","up","left",442.208246224325,0,"Young",26,442.208246224325
2,1,6,"Center","Congruent","up","left",308.687132880873,0,"Young",26,308.687132880873
2,1,7,"Double","Congruent","up","left",463.921464373773,0,"Young",26,463.921464373773
2,1,8,"Spatial","Congruent","up","left",346.722383046684,1,"Young",26,NA
2,1,9,"None","Incongruent","up","left",538.279949957893,0,"Young",26,538.279949957893
2,1,10,"Center","Incongruent","up","left",497.756833845449,0,"Young",26,497.756833845449
2,1,11,"Double","Incongruent","up","left",442.471714927886,0,"Young",26,442.471714927886
2,1,12,"Spatial","Incongruent","up","left",394.709229011651,0,"Young",26,394.709229011651
2,1,13,"None","Neutral","down","left",474.683685121276,0,"Young",26,474.683685121276
2,1,14,"Center","Neutral","down","left",327.635092546935,0,"Young",26,327.635092546935
2,1,15,"Double","Neutral","down","left",473.566869311208,0,"Young",26,473.566869311208
2,1,16,"Spatial","Neutral","down","left",320.818394685582,0,"Young",26,320.818394685582
2,1,17,"None","Congruent","down","left",512.707265113749,1,"Young",26,NA
2,1,18,"Center","Congruent","down","left",455.610634697532,0,"Young",26,455.610634697532
2,1,19,"Double","Congruent","down","left",379.148286679296,0,"Young",26,379.148286679296
2,1,20,"Spatial","Congruent","down","left",368.361045742575,0,"Young",26,368.361045742575
2,1,21,"None","Incongruent","down","left",448.772576023277,0,"Young",26,448.772576023277
2,1,22,"Center","Incongruent","down","left",466.150325151122,1,"Young",26,NA
2,1,23,"Double","Incongruent","down","left",497.180622917809,0,"Young",26,497.180622917809
2,1,24,"Spatial","Incongruent","down","left",414.95392434486,0,"Young",26,414.95392434486
2,1,25,"None","Neutral","up","right",407.293154542282,0,"Young",26,407.293154542282
2,1,26,"Center","Neutral","up","right",347.210907377478,0,"Young",26,347.210907377478
2,1,27,"Double","Neutral","up","right",373.203878868874,1,"Young",26,NA
2,1,28,"Spatial","Neutral","up","right",393.45807303384,0,"Young",26,393.45807303384
2,1,29,"None","Congruent","up","right",405.801253484936,0,"Young",26,405.801253484936
2,1,30,"Center","Congruent","up","right",373.949494433628,0,"Young",26,373.949494433628
2,1,31,"Double","Congruent","up","right",310.292999808958,0,"Young",26,310.292999808958
2,1,32,"Spatial","Congruent","up","right",364.715641800743,1,"Young",26,NA
2,1,33,"None","Incongruent","up","right",565.395076005707,0,"Young",26,565.395076005707
2,1,34,"Center","Incongruent","up","right",524.852050470139,0,"Young",26,524.852050470139
2,1,35,"Double","Incongruent","up","right",485.735136544868,0,"Young",26,485.735136544868
2,1,36,"Spatial","Incongruent","up","right",316.510560489869,0,"Young",26,316.510560489869
2,1,37,"None","Neutral","down","right",454.101475206188,0,"Young",26,454.101475206188
2,1,38,"Center","Neutral","down","right",402.80678016506,0,"Young",26,402.80678016506
2,1,39,"Double","Neutral","down","right",357.329985708504,0,"Young",26,357.329985708504
2,1,40,"Spatial","Neutral","down","right",348.524473547399,0,"Young",26,348.524473547399
2,1,41,"None","Congruent","down","right",386.798202293655,0,"Young",26,386.798202293655
2,1,42,"Center","Congruent","down","right",413.961538700783,0,"Young",26,413.961538700783
2,1,43,"Double","Congruent","down","right",358.644949267345,0,"Young",26,358.644949267345
2,1,44,"Spatial","Congruent","down","right",261.545890742802,0,"Young",26,261.545890742802
2,1,45,"None","Incongruent","down","right",481.627462191476,0,"Young",26,481.627462191476
2,1,46,"Center","Incongruent","down","right",518.221746453492,0,"Young",26,518.221746453492
2,1,47,"Double","Incongruent","down","right",428.285931763442,0,"Young",26,428.285931763442
2,1,48,"Spatial","Incongruent","down","right",446.637502110455,0,"Young",26,446.637502110455
2,2,1,"None","Neutral","up","left",477.329282009889,0,"Young",26,477.329282009889
