"error","rt","trial","flank","cue","direction","location","subnum","block"
0,413.033777422099,43,"Congruent","Double","right","down","11",1
0,327.502428824336,44,"Congruent","Spatial","right","down","11",1
0,553.943159541344,45,"Incongruent","None","right","down","11",1
0,512.142211659066,46,"Incongruent","Center","right","down","11",1
0,463.620267305986,47,"Incongruent","Double","right","down","11",1
1,418.797476218662,48,"Incongruent","Spatial","right","down","11",1
0,448.430990463803,1,"Neutral","None","left","up","11",2
0,321.552527911696,2,"Neutral","Center","left","up","11",2
0,346.028373257499,3,"Neutral","Double","left","up","11",2
0,354.866988053399,4,"Neutral","Spatial","left","up","11",2
0,522.62241609633,5,"Congruent","None","left","up","11",2
0,420.335682874861,6,"Congruent","Center","left","up","11",2
0,399.409372899426,7,"Congruent","Double","left","up","11",2
0,386.325067177847,8,"Congruent","Spatial","left","up","11",2
0,522.91549475705,9,"Incongruent","None","left","up","11",2
1,447.402832077933,10,"Incongruent","Center","left","up","11",2
0,535.790223240743,11,"Incongruent","Double","left","up","11",2
0,355.674581907113,12,"Incongruent","Spatial","left","up","11",2
0,381.244814402038,13,"Neutral","None","left","down","11",2
1,395.651315636212,14,"Neutral","Center","left","down","11",2
0,459.576649570624,15,"Neutral","Double","left","down","11",2
0,311.380623764535,16,"Neutral","Spatial","left","down","11",2
0,482.563155135481,17,"Congruent","None","left","down","11",2
0,370.937261131618,18,"Congruent","Center","left","down","11",2
0,399.282351791445,19,"Congruent","Double","left","down","11",2
0,268.20335900987,20,"Congruent","Spatial","left","down","11",2
0,446.902947137509,21,"Incongruent","None","left","down","11",2
0,574.63033204972,22,"Incongruent","Center","left","down","11",2
0,476.224534823443,23,"Incongruent","Double","left","down","11",2
0,413.392686233333,24,"Incongruent","Spatial","left","down","11",2
0,301.37917391234,25,"Neutral","None","right","up","11",2
0,441.014877417509,26,"Neutral","Center","right","up","11",2
0,368.315052465572,27,"Neutral","Double","right","up","11",2
0,362.731153237235,28,"Neutral","Spatial","right","up","11",2
0,448.084019734398,29,"Congruent","None","right","up","11",2
0,399.570839446764,30,"Congruent","Center","right","up","11",2
0,354.89859859649,31,"Congruent","Double","right","up","11",2
0,434.249881342687,32,"Congruent","Spatial","right","up","11",2
0,506.789460439529,33,"Incongruent","None","right","up","11",2
0,471.543044528151,34,"Incongruent","Center","right","up","11",2
0,556.09127171638,35,"Incongruent","Double","right","up","11",2
0,391.349232391495,36,"Incongruent","Spatial","right","up","11",2
0,362.676798650809,37,"Neutral","None","right","down","11",2
0,275.565963042023,38,"Neutral","Center","right","down","11",2
0,369.91908287808,39,"Neutral","Double","right","down","11",2
0,310.280199959879,40,"Neutral","Spatial","right","down","11",2
0,419.205346243803,41,"Congruent","None","right","down","11",2
0,383.762999923154,42,"Congruent","Center","right","down","11",2
0,483.34626951489,43,"Congruent","Double","right","down","11",2
0,372.270248270076,44,"Congruent","Spatial","right","down","11",2
0,490.133367463354,45,"Incongruent","None","right","down","11",2
0,543.683879096163,46,"Incongruent","Center","right","down","11",2
0,459.633038740163,47,"Incongruent","Double","right","down","11",2
0,436.101076343123,48,"Incongruent","Spatial","right","down","11",2
0,488.131642553901,1,"Neutral","None","left","up","11",3
0,375.357555973101,2,"Neutral","Center","left","up","11",3
0,279.902590893869,3,"Neutral","Double","left","up","11",3
0,315.336689919827,4,"Neutral","Spatial","left","up","11",3
0,523.184619355533,5,"Congruent","None","left","up","11",3
0,369.359550205273,6,"Congruent","Center","left","up","11",3
0,431.833001061646,7,"Congruent","Double","left","up","11",3
0,362.136972532352,8,"Congruent","Spatial","left","up","11",3
0,503.495224013588,9,"Incongruent","None","left","up","11",3
0,348.705843131199,10,"Incongruent","Center","left","up","11",3
0,510.820691697294,11,"Incongruent","Double","left","up","11",3
0,379.769413891954,12,"Incongruent","Spatial","left","up","11",3
0,411.470775116298,13,"Neutral","None","left","down","11",3
0,353.316581890505,14,"Neutral","Center","left","down","11",3
0,465.609326740494,15,"Neutral","Double","left","down","11",3
0,280.184546502692,16,"Neutral","Spatial","left","down","11",3
0,295.411614737477,17,"Congruent","None","left","down","11",3
0,407.325667781596,18,"Congruent","Center","left","down","11",3
0,413.446320454679,19,"Congruent","Double","left","down","11",3
0,330.662110037447,20,"Congruent","Spatial","left","down","11",3
0,488.53201222906,21,"Incongruent","None","left","down","11",3
0,561.509281732909,22,"Incongruent","Center","left","down","11",3
0,366.766427951669,23,"Incongruent","Double","left","down","11",3
0,356.11119812679,24,"Incongruent","Spatial","left","down","11",3
0,466.955745997565,25,"Neutral","None","right","up","11",3
0,399.330436403311,26,"Neutral","Center","right","up","11",3
0,439.819858613545,27,"Neutral","Double","right","up","11",3
0,299.822082124612,28,"Neutral","Spatial","right","up","11",3
0,349.868716570679,29,"Congruent","None","right","up","11",3
0,426.662548527615,30,"Congruent","Center","right","up","11",3
0,465.304462695433,31,"Congruent","Double","right","up","11",3
0,337.174818371768,32,"Congruent","Spatial","right","up","11",3
0,594.295565944862,33,"Incongruent","None","right","up","11",3
0,558.919171421202,34,"Incongruent","Center","right","up","11",3
0,500.114231215707,35,"Incongruent","Double","right","up","11",3
0,431.495710627779,36,"Incongruent","Spatial","right","up","11",3
1,366.71772355576,37,"Neutral","None","right","down","11",3
0,491.811616527276,38,"Neutral","Center","right","down","11",3
0,391.598418892826,39,"Neutral","Double","right","down","11",3
0,333.035880721613,40,"Neutral","Spatial","right","down","11",3
0,393.270308718709,41,"Congruent","None","right","down","11",3
0,241.120361803804,42,"Congruent","Center","right","down","11",3
0,358.857302060827,43,"Congruent","Double","right","down","11",3
1,288.220676311703,44,"Congruent","Spatial","right","down","11",3
1,502.737632509835,45,"Incongruent","None","right","down","11",3
0,557.184245937471,46,"Incongruent","Center","right","down","11",3
1,523.222312718265,47,"Incongruent","Double","right","down","11",3
0,318.384857560559,48,"Incongruent","Spatial","right","down","11",3
0,436.648067134331,1,"Neutral","None","left","up","11",4
0,328.329898076943,2,"Neutral","Center","left","up","11",4
0,288.585639330404,3,"Neutral","Double","left","up","11",4
0,282.006448409723,4,"Neutral","Spatial","left","up","11",4
0,360.327819951692,5,"Congruent","None","left","up","11",4
0,329.903427734291,6,"Congruent","Center","left","up","11",4
0,442.41959715093,7,"Congruent","Double","left","up","11",4
0,251.208180629323,8,"Congruent","Spatial","left","up","11",4
0,518.518734709444,9,"Incongruent","None","left","up","11",4
0,482.098029316221,10,"Incongruent","Center","left","up","11",4
1,468.362475585093,11,"Incongruent","Double","left","up","11",4
0,409.302898739342,12,"Incongruent","Spatial","left","up","11",4
1,411.698034978405,13,"Neutral","None","left","down","11",4
0,374.741302691651,14,"Neutral","Center","left","down","11",4
0,458.012218856959,15,"Neutral","Double","left","down","11",4
0,417.753881096918,16,"Neutral","Spatial","left","down","11",4
0,452.160247040435,17,"Congruent","None","left","down","11",4
0,358.066663928511,18,"Congruent","Center","left","down","11",4
0,435.493422767796,19,"Congruent","Double","left","down","11",4
0,268.853700257058,20,"Congruent","Spatial","left","down","11",4
0,497.055116823396,21,"Incongruent","None","left","down","11",4
0,490.186814959919,22,"Incongruent","Center","left","down","11",4
0,512.150531773306,23,"Incongruent","Double","left","down","11",4
0,391.115053346743,24,"Incongruent","Spatial","left","down","11",4
0,548.934008837787,25,"Neutral","None","right","up","11",4
0,335.603402147859,26,"Neutral","Center","right","up","11",4
0,323.196187517892,27,"Neutral","Double","right","up","11",4
0,458.389321127605,28,"Neutral","Spatial","right","up","11",4
0,458.057701990491,29,"Congruent","None","right","up","11",4
0,357.702997394915,30,"Congruent","Center","right","up","11",4
0,328.279174432635,31,"Congruent","Double","right","up","11",4
0,363.975077858284,32,"Congruent","Spatial","right","up","11",4
0,511.849027487822,33,"Incongruent","None","right","up","11",4
0,413.029879600906,34,"Incongruent","Center","right","up","11",4
0,469.628548326749,35,"Incongruent","Double","right","up","11",4
0,438.886156196806,36,"Incongruent","Spatial","right","up","11",4
0,452.702844042897,37,"Neutral","None","right","down","11",4
0,320.483858434892,38,"Neutral","Center","right","down","11",4
0,473.660495148037,39,"Neutral","Double","right","down","11",4
0,286.198125835319,40,"Neutral","Spatial","right","down","11",4
0,439.697558179867,41,"Congruent","None","right","down","11",4
0,434.302019286766,42,"Congruent","Center","right","down","11",4
0,378.936296540215,43,"Congruent","Double","right","down","11",4
0,413.509168181654,44,"Congruent","Spatial","right","down","11",4
0,635.716557264933,45,"Incongruent","None","right","down","11",4
0,535.81748421689,46,"Incongruent","Center","right","down","11",4
0,524.437905200835,47,"Incongruent","Double","right","down","11",4
0,358.703633647215,48,"Incongruent","Spatial","right","down","11",4
0,514.721294460964,1,"Neutral","None","left","up","11",5
0,377.80710335072,2,"Neutral","Center","left","up","11",5
0,395.446216680832,3,"Neutral","Double","left","up","11",5
0,345.760473900085,4,"Neutral","Spatial","left","up","11",5
0,421.179840211383,5,"Congruent","None","left","up","11",5
0,484.085815018231,6,"Congruent","Center","left","up","11",5
0,477.453309653688,7,"Congruent","Double","left","up","11",5
0,297.765558879602,8,"Congruent","Spatial","left","up","11",5
0,478.870766903629,9,"Incongruent","None","left","up","11",5
0,479.997852689664,10,"Incongruent","Center","left","up","11",5
1,413.780550083049,11,"Incongruent","Double","left","up","11",5
0,440.807245453866,12,"Incongruent","Spatial","left","up","11",5
0,459.639454405268,13,"Neutral","None","left","down","11",5
0,447.780230681609,14,"Neutral","Center","left","down","11",5
0,333.102079181502,15,"Neutral","Double","left","down","11",5
1,390.226722650424,16,"Neutral","Spatial","left","down","11",5
0,475.85910509892,17,"Congruent","None","left","down","11",5
0,372.668855181271,18,"Congruent","Center","left","down","11",5
0,311.933586260878,19,"Congruent","Double","left","down","11",5
0,327.321763399111,20,"Congruent","Spatial","left","down","11",5
0,583.347532954296,21,"Incongruent","None","left","down","11",5
0,516.11567574259,22,"Incongruent","Center","left","down","11",5
0,504.69528153413,23,"Incongruent","Double","left","down","11",5
0,265.749103450887,24,"Incongruent","Spatial","left","down","11",5
0,430.805572578919,25,"Neutral","None","right","up","11",5
0,410.735446235674,26,"Neutral","Center","right","up","11",5
0,318.240789210776,27,"Neutral","Double","right","up","11",5
0,316.197438117629,28,"Neutral","Spatial","right","up","11",5
0,445.785236921904,29,"Congruent","None","right","up","11",5
0,388.194569597879,30,"Congruent","Center","right","up","11",5
0,422.882917820381,31,"Congruent","Double","right","up","11",5
0,333.445183847168,32,"Congruent","Spatial","right","up","11",5
0,497.661892816806,33,"Incongruent","None","right","up","11",5
0,534.12819470635,34,"Incongruent","Center","right","up","11",5
0,477.804712826246,35,"Incongruent","Double","right","up","11",5
0,345.919569258009,36,"Incongruent","Spatial","right","up","11",5
1,385.260926262749,37,"Neutral","None","right","down","11",5
0,418.671232510347,38,"Neutral","Center","right","down","11",5
0,413.368711076324,39,"Neutral","Double","right","down","11",5
0,375.048699843186,40,"Neutral","Spatial","right","down","11",5
0,456.94427470937,41,"Congruent","None","right","down","11",5
0,436.566499620527,42,"Congruent","Center","right","down","11",5
0,353.081189535613,43,"Congruent","Double","right","down","11",5
0,410.115875482054,44,"Congruent","Spatial","right","down","11",5
0,433.074770998102,45,"Incongruent","None","right","down","11",5
0,518.201268094085,46,"Incongruent","Center","right","down","11",5
1,455.224661290188,47,"Incongruent","Double","right","down","11",5
0,445.333698299934,48,"Incongruent","Spatial","right","down","11",5
1,424.193073540079,1,"Neutral","None","left","up","11",6
0,355.930105430767,2,"Neutral","Center","left","up","11",6
0,377.441994776655,3,"Neutral","Double","left","up","11",6
0,355.565150286218,4,"Neutral","Spatial","left","up","11",6
0,429.778990611054,5,"Congruent","None","left","up","11",6
0,370.22523280696,6,"Congruent","Center","left","up","11",6
0,330.49766623745,7,"Congruent","Double","left","up","11",6
0,399.889305971027,8,"Congruent","Spatial","left","up","11",6
0,502.328750588284,9,"Incongruent","None","left","up","11",6
0,493.085895302506,10,"Incongruent","Center","left","up","11",6
0,541.984763688271,11,"Incongruent","Double","left","up","11",6
0,495.075059524753,12,"Incongruent","Spatial","left","up","11",6
0,507.564765718364,13,"Neutral","None","left","down","11",6
0,363.884691729554,14,"Neutral","Center","left","down","11",6
0,408.107107295011,15,"Neutral","Double","left","down","11",6
0,421.986641009849,16,"Neutral","Spatial","left","down","11",6
0,364.087679965393,17,"Congruent","None","left","down","11",6
0,311.752960250682,18,"Congruent","Center","left","down","11",6
1,381.167885453106,19,"Congruent","Double","left","down","11",6
0,310.398481809827,20,"Congruent","Spatial","left","down","11",6
0,608.890190295135,21,"Incongruent","None","left","down","11",6
1,542.656234290379,22,"Incongruent","Center","left","down","11",6
0,341.167089243132,23,"Incongruent","Double","left","down","11",6
0,326.70090899306,24,"Incongruent","Spatial","left","down","11",6
0,472.123868001624,25,"Neutral","None","right","up","11",6
0,399.275316276684,26,"Neutral","Center","right","up","11",6
0,481.923585432084,27,"Neutral","Double","right","up","11",6
0,350.639956816121,28,"Neutral","Spatial","right","up","11",6
0,522.026133953493,29,"Congruent","None","right","up","11",6
0,281.890046660494,30,"Congruent","Center","right","up","11",6
0,321.694898058102,31,"Congruent","Double","right","up","11",6
1,348.307826416349,32,"Congruent","Spatial","right","up","11",6
0,475.566787764028,33,"Incongruent","None","right","up","11",6
0,439.802792321639,34,"Incongruent","Center","right","up","11",6
0,415.83122581576,35,"Incongruent","Double","right","up","11",6
0,383.046764198496,36,"Incongruent","Spatial","right","up","11",6
1,352.146508446819,37,"Neutral","None","right","down","11",6
0,346.413825632765,38,"Neutral","Center","right","down","11",6
0,420.678770980157,39,"Neutral","Double","right","down","11",6
1,301.63816681477,40,"Neutral","Spatial","right","down","11",6
0,476.01353101859,41,"Congruent","None","right","down","11",6
0,396.459699296983,42,"Congruent","Center","right","down","11",6
0,394.880752075678,43,"Congruent","Double","right","down","11",6
0,232.606538000506,44,"Congruent","Spatial","right","down","11",6
0,404.257504365362,45,"Incongruent","None","right","down","11",6
0,487.088080983883,46,"Incongruent","Center","right","down","11",6
1,562.538795087245,47,"Incongruent","Double","right","down","11",6
0,457.2805128975,48,"Incongruent","Spatial","right","down","11",6
0,424.311814892058,1,"Neutral","None","left","up","12",1
0,443.566730838348,2,"Neutral","Center","left","up","12",1
0,368.240082453416,3,"Neutral","Double","left","up","12",1
1,339.513868724417,4,"Neutral","Spatial","left","up","12",1
0,506.488624243067,5,"Congruent","None","left","up","12",1
1,320.5540167091,6,"Congruent","Center","left","up","12",1
0,367.715675603558,7,"Congruent","Double","left","up","12",1
0,296.756437025683,8,"Congruent","Spatial","left","up","12",1
0,472.809560940103,9,"Incongruent","None","left","up","12",1
0,398.652349391541,10,"Incongruent","Center","left","up","12",1
0,481.053552253689,11,"Incongruent","Double","left","up","12",1
0,459.055259514822,12,"Incongruent","Spatial","left","up","12",1
0,425.646097078419,13,"Neutral","None","left","down","12",1
0,365.130758753854,14,"Neutral","Center","left","down","12",1
1,405.679342259852,15,"Neutral","Double","left","down","12",1
0,407.47652937667,16,"Neutral","Spatial","left","down","12",1
0,479.388531534722,17,"Congruent","None","left","down","12",1
0,419.996796722635,18,"Congruent","Center","left","down","12",1
0,445.66915577839,19,"Congruent","Double","left","down","12",1
0,290.548828560155,20,"Congruent","Spatial","left","down","12",1
0,496.839682669061,21,"Incongruent","None","left","down","12",1
0,527.105476369657,22,"Incongruent","Center","left","down","12",1
1,445.277835051745,23,"Incongruent","Double","left","down","12",1
0,445.859097734478,24,"Incongruent","Spatial","left","down","12",1
0,434.256456618541,25,"Neutral","None","right","up","12",1
1,431.757791563352,26,"Neutral","Center","right","up","12",1
1,282.644253306778,27,"Neutral","Double","right","up","12",1
0,356.570124948884,28,"Neutral","Spatial","right","up","12",1
0,481.121409988601,29,"Congruent","None","right","up","12",1
0,407.559603121608,30,"Congruent","Center","right","up","12",1
0,447.043665672795,31,"Congruent","Double","right","up","12",1
0,336.289049246387,32,"Congruent","Spatial","right","up","12",1
0,494.342279791978,33,"Incongruent","None","right","up","12",1
0,522.823991857281,34,"Incongruent","Center","right","up","12",1
0,465.720794999682,35,"Incongruent","Double","right","up","12",1
0,481.402592495144,36,"Incongruent","Spatial","right","up","12",1
0,534.088372204667,37,"Neutral","None","right","down","12",1
0,351.62549474469,38,"Neutral","Center","right","down","12",1
0,320.612178803564,39,"Neutral","Double","right","down","12",1
0,406.050509688042,40,"Neutral","Spatial","right","down","12",1
0,465.908092543647,41,"Congruent","None","right","down","12",1
0,415.975219696328,42,"Congruent","Center","right","down","12",1
0,326.745088462763,43,"Congruent","Double","right","down","12",1
0,348.322938969284,44,"Congruent","Spatial","right","down","12",1
0,553.017168296711,45,"Incongruent","None","right","down","12",1
0,461.688796800772,46,"Incongruent","Center","right","down","12",1
0,491.988706016709,47,"Incongruent","Double","right","down","12",1
0,294.180606956774,48,"Incongruent","Spatial","right","down","12",1
0,489.417395639509,1,"Neutral","None","left","up","12",2
0,310.483198675243,2,"Neutral","Center","left","up","12",2
0,295.690748834783,3,"Neutral","Double","left","up","12",2
0,405.146691209947,4,"Neutral","Spatial","left","up","12",2
0,466.840909101615,5,"Congruent","None","left","up","12",2
0,351.444525542067,6,"Congruent","Center","left","up","12",2
0,353.980959696218,7,"Congruent","Double","left","up","12",2
0,384.795968946434,8,"Congruent","Spatial","left","up","12",2
0,554.535220982838,9,"Incongruent","None","left","up","12",2
0,477.398575367168,10,"Incongruent","Center","left","up","12",2
0,441.496007719801,11,"Incongruent","Double","left","up","12",2
0,390.022437801319,12,"Incongruent","Spatial","left","up","12",2
0,451.694504797314,13,"Neutral","None","left","down","12",2
0,370.624304331047,14,"Neutral","Center","left","down","12",2
0,325.314752315508,15,"Neutral","Double","left","down","12",2
0,293.879489889114,16,"Neutral","Spatial","left","down","12",2
0,428.870675016457,17,"Congruent","None","left","down","12",2
0,379.463007432268,18,"Congruent","Center","left","down","12",2
0,349.988152380868,19,"Congruent","Double","left","down","12",2
0,330.916416220411,20,"Congruent","Spatial","left","down","12",2
0,509.477072324534,21,"Incongruent","None","left","down","12",2
0,505.149448174576,22,"Incongruent","Center","left","down","12",2
0,558.695973006011,23,"Incongruent","Double","left","down","12",2
0,537.361407617529,24,"Incongruent","Spatial","left","down","12",2
1,456.107441971491,25,"Neutral","None","right","up","12",2
0,335.378993598306,26,"Neutral","Center","right","up","12",2
0,411.415630360276,27,"Neutral","Double","right","up","12",2
1,282.053848638831,28,"Neutral","Spatial","right","up","12",2
0,504.664187504632,29,"Congruent","None","right","up","12",2
0,337.587504181733,30,"Congruent","Center","right","up","12",2
0,390.384097053417,31,"Congruent","Double","right","up","12",2
0,436.651120789685,32,"Congruent","Spatial","right","up","12",2
0,535.127167548051,33,"Incongruent","None","right","up","12",2
0,480.815485906432,34,"Incongruent","Center","right","up","12",2
0,507.073426121097,35,"Incongruent","Double","right","up","12",2
0,492.760948411982,36,"Incongruent","Spatial","right","up","12",2
0,387.018226333846,37,"Neutral","None","right","down","12",2
0,410.869199654135,38,"Neutral","Center","right","down","12",2
0,441.791828163865,39,"Neutral","Double","right","down","12",2
0,313.29956112437,40,"Neutral","Spatial","right","down","12",2
0,456.418642193285,41,"Congruent","None","right","down","12",2
0,376.315088599395,42,"Congruent","Center","right","down","12",2
0,380.472974311368,43,"Congruent","Double","right","down","12",2
0,395.009044055999,44,"Congruent","Spatial","right","down","12",2
0,492.321099895059,45,"Incongruent","None","right","down","12",2
0,472.187104459249,46,"Incongruent","Center","right","down","12",2
0,455.681343746836,47,"Incongruent","Double","right","down","12",2
0,367.659025310939,48,"Incongruent","Spatial","right","down","12",2
0,321.353659900496,1,"Neutral","None","left","up","12",3
0,344.104689981365,2,"Neutral","Center","left","up","12",3
0,459.989138004154,3,"Neutral","Double","left","up","12",3
0,336.540336002957,4,"Neutral","Spatial","left","up","12",3
1,366.090557967492,5,"Congruent","None","left","up","12",3
0,351.229613287437,6,"Congruent","Center","left","up","12",3
0,305.517775730696,7,"Congruent","Double","left","up","12",3
0,264.870374601454,8,"Congruent","Spatial","left","up","12",3
0,546.562685964565,9,"Incongruent","None","left","up","12",3
0,465.443545871357,10,"Incongruent","Center","left","up","12",3
0,508.858489641637,11,"Incongruent","Double","left","up","12",3
0,378.661480417641,12,"Incongruent","Spatial","left","up","12",3
1,357.876116235426,13,"Neutral","None","left","down","12",3
0,350.477421842389,14,"Neutral","Center","left","down","12",3
0,335.387660149719,15,"Neutral","Double","left","down","12",3
0,293.406501270524,16,"Neutral","Spatial","left","down","12",3
0,429.115171704642,17,"Congruent","None","left","down","12",3
1,429.653140529132,18,"Congruent","Center","left","down","12",3
0,377.178251203576,19,"Congruent","Double","left","down","12",3
0,238.823451015762,20,"Congruent","Spatial","left","down","12",3
0,594.742289767302,21,"Incongruent","None","left","down","12",3
0,539.015926927221,22,"Incongruent","Center","left","down","12",3
0,595.708173901361,23,"Incongruent","Double","left","down","12",3
0,397.966841804098,24,"Incongruent","Spatial","left","down","12",3
0,533.564470714467,25,"Neutral","None","right","up","12",3
0,391.635703881118,26,"Neutral","Center","right","up","12",3
1,356.326582795471,27,"Neutral","Double","right","up","12",3
0,298.332718383918,28,"Neutral","Spatial","right","up","12",3
0,356.82959600341,29,"Congruent","None","right","up","12",3
1,431.78596302346,30,"Congruent","Center","right","up","12",3
1,439.64373553242,31,"Congruent","Double","right","up","12",3
1,397.19922720857,32,"Congruent","Spatial","right","up","12",3
0,535.260429031002,33,"Incongruent","None","right","up","12",3
0,494.392247177759,34,"Incongruent","Center","right","up","12",3
0,487.881657146998,35,"Incongruent","Double","right","up","12",3
0,509.749312186195,36,"Incongruent","Spatial","right","up","12",3
0,407.719783147798,37,"Neutral","None","right","down","12",3
0,346.180302452051,38,"Neutral","Center","right","down","12",3
0,395.580279570219,39,"Neutral","Double","right","down","12",3
0,310.657429015388,40,"Neutral","Spatial","right","down","12",3
0,366.281619357326,41,"Congruent","None","right","down","12",3
0,335.15522113196,42,"Congruent","Center","right","down","12",3
0,400.133007116818,43,"Congruent","Double","right","down","12",3
0,435.001488190123,44,"Congruent","Spatial","right","down","12",3
0,577.941692977803,45,"Incongruent","None","right","down","12",3
0,424.722805158333,46,"Incongruent","Center","right","down","12",3
0,483.859933781917,47,"Incongruent","Double","right","down","12",3
0,511.595666578352,48,"Incongruent","Spatial","right","down","12",3
1,500.453063023737,1,"Neutral","None","left","up","12",4
0,427.489656965263,2,"Neutral","Center","left","up","12",4
0,385.48546515919,3,"Neutral","Double","left","up","12",4
0,401.157839309376,4,"Neutral","Spatial","left","up","12",4
0,484.352648134325,5,"Congruent","None","left","up","12",4
0,370.325442209255,6,"Congruent","Center","left","up","12",4
0,335.224994381559,7,"Congruent","Double","left","up","12",4
0,325.512132187066,8,"Congruent","Spatial","left","up","12",4
0,428.197482714865,9,"Incongruent","None","left","up","12",4
0,523.867812450023,10,"Incongruent","Center","left","up","12",4
0,469.73925978002,11,"Incongruent","Double","left","up","12",4
0,293.265807819714,12,"Incongruent","Spatial","left","up","12",4
0,375.146739980413,13,"Neutral","None","left","down","12",4
1,399.309671712847,14,"Neutral","Center","left","down","12",4
0,426.045957456316,15,"Neutral","Double","left","down","12",4
0,358.758409885355,16,"Neutral","Spatial","left","down","12",4
0,372.955251641433,17,"Congruent","None","left","down","12",4
0,342.415077044635,18,"Congruent","Center","left","down","12",4
0,528.226194634906,19,"Congruent","Double","left","down","12",4
0,411.840232273755,20,"Congruent","Spatial","left","down","12",4
1,516.127770719065,21,"Incongruent","None","left","down","12",4
0,474.625755742062,22,"Incongruent","Center","left","down","12",4
0,472.423358152543,23,"Incongruent","Double","left","down","12",4
0,449.488704465936,24,"Incongruent","Spatial","left","down","12",4
0,419.104722879233,25,"Neutral","None","right","up","12",4
0,352.774881080776,26,"Neutral","Center","right","up","12",4
0,361.270983718928,27,"Neutral","Double","right","up","12",4
0,341.381195030947,28,"Neutral","Spatial","right","up","12",4
0,478.483860875338,29,"Congruent","None","right","up","12",4
1,270.029675299753,30,"Congruent","Center","right","up","12",4
0,472.404689888752,31,"Congruent","Double","right","up","12",4
0,348.992660936157,32,"Congruent","Spatial","right","up","12",4
0,520.752838163687,33,"Incongruent","None","right","up","12",4
0,512.34202517181,34,"Incongruent","Center","right","up","12",4
0,442.300000777448,35,"Incongruent","Double","right","up","12",4
0,354.002526684572,36,"Incongruent","Spatial","right","up","12",4
1,379.762737163012,37,"Neutral","None","right","down","12",4
0,408.338427066769,38,"Neutral","Center","right","down","12",4
1,406.706403474409,39,"Neutral","Double","right","down","12",4
0,279.498202072707,40,"Neutral","Spatial","right","down","12",4
0,425.353879176964,41,"Congruent","None","right","down","12",4
0,306.079546118505,42,"Congruent","Center","right","down","12",4
0,394.394033411369,43,"Congruent","Double","right","down","12",4
0,314.468726481122,44,"Congruent","Spatial","right","down","12",4
0,459.859778761773,45,"Incongruent","None","right","down","12",4
0,493.815036242112,46,"Incongruent","Center","right","down","12",4
0,531.842929291132,47,"Incongruent","Double","right","down","12",4
0,325.45859466303,48,"Incongruent","Spatial","right","down","12",4
0,404.82661955078,1,"Neutral","None","left","up","12",5
0,476.086766716268,2,"Neutral","Center","left","up","12",5
0,403.30223535078,3,"Neutral","Double","left","up","12",5
0,470.940467700396,4,"Neutral","Spatial","left","up","12",5
0,360.040961023227,5,"Congruent","None","left","up","12",5
0,387.701853713386,6,"Congruent","Center","left","up","12",5
0,329.328208298074,7,"Congruent","Double","left","up","12",5
0,399.550248596757,8,"Congruent","Spatial","left","up","12",5
