"subnum","block","trial","cue","flank","location","direction","rt","error"
"1",1,42,"Center","Congruent","down","right",367.331915993175,0
"1",1,43,"Double","Congruent","down","right",409.848168770237,1
"1",1,44,"Spatial","Congruent","down","right",367.833159933683,0
"1",1,45,"None","Incongruent","down","right",465.562215272524,0
"1",1,46,"Center","Incongruent","down","right",414.625242151894,0
"1",1,47,"Double","Incongruent","down","right",463.229098106842,0
"1",1,48,"Spatial","Incongruent","down","right",448.426646225771,0
"1",2,1,"None","Neutral","up","left",424.382689392489,0
"1",2,2,"Center","Neutral","up","left",424.055386322711,0
"1",2,3,"Double","Neutral","up","left",394.905294018353,0
"1",2,4,"Spatial","Neutral","up","left",309.398680337461,1
"1",2,5,"None","Congruent","up","left",447.055984571221,0
"1",2,6,"Center","Congruent","up","left",323.53184519596,0
"1",2,7,"Double","Congruent","up","left",446.651185085052,0
"1",2,8,"Spatial","Congruent","up","left",439.019994925293,0
"1",2,9,"None","Incongruent","up","left",481.638926176675,0
"1",2,10,"Center","Incongruent","up","left",397.793268684173,0
"1",2,11,"Double","Incongruent","up","left",473.485981372121,0
"1",2,12,"Spatial","Incongruent","up","left",403.247269805959,0
"1",2,13,"None","Neutral","down","left",550.080888025239,0
"1",2,14,"Center","Neutral","down","left",378.037999863342,0
"1",2,15,"Double","Neutral","down","left",409.486968122539,0
"1",2,16,"Spatial","Neutral","down","left",341.400107939033,0
"1",2,17,"None","Congruent","down","left",392.83633955588,0
"1",2,18,"Center","Congruent","down","left",389.439614975717,0
"1",2,19,"Double","Congruent","down","left",284.752068555448,0
"1",2,20,"Spatial","Congruent","down","left",413.277743078144,0
"1",2,21,"None","Incongruent","down","left",507.662666910595,0
"1",2,22,"Center","Incongruent","down","left",558.630583518108,0
"1",2,23,"Double","Incongruent","down","left",468.775476444983,0
"1",2,24,"Spatial","Incongruent","down","left",374.502678453909,0
"1",2,25,"None","Neutral","up","right",460.536317674453,0
"1",2,26,"Center","Neutral","up","right",333.295118417787,0
"1",2,27,"Double","Neutral","up","right",312.318329988045,0
"1",2,28,"Spatial","Neutral","up","right",354.572311775873,0
"1",2,29,"None","Congruent","up","right",407.835406339078,0
"1",2,30,"Center","Congruent","up","right",380.055267581581,0
"1",2,31,"Double","Congruent","up","right",378.717066207583,1
"1",2,32,"Spatial","Congruent","up","right",310.523952690596,0
"1",2,33,"None","Incongruent","up","right",471.566563359075,0
"1",2,34,"Center","Incongruent","up","right",443.241069243808,0
"1",2,35,"Double","Incongruent","up","right",503.90434982866,0
"1",2,36,"Spatial","Incongruent","up","right",333.821659978512,0
"1",2,37,"None","Neutral","down","right",459.697309381421,0
"1",2,38,"Center","Neutral","down","right",396.647518560676,0
"1",2,39,"Double","Neutral","down","right",428.154991863818,0
"1",2,40,"Spatial","Neutral","down","right",324.790803818285,0
"1",2,41,"None","Congruent","down","right",448.500940495814,0
"1",2,42,"Center","Congruent","down","right",393.354939538612,0
"1",2,43,"Double","Congruent","down","right",347.873998450418,0
"1",2,44,"Spatial","Congruent","down","right",400.393390299159,0
"1",2,45,"None","Incongruent","down","right",558.020130784748,0
"1",2,46,"Center","Incongruent","down","right",485.01068247575,0
"1",2,47,"Double","Incongruent","down","right",524.341672727042,0
"1",2,48,"Spatial","Incongruent","down","right",437.924321278265,0
"1",3,1,"None","Neutral","up","left",366.170389577098,0
"1",3,2,"Center","Neutral","up","left",351.336729288156,0
"1",3,3,"Double","Neutral","up","left",313.769369255082,0
"1",3,4,"Spatial","Neutral","up","left",316.329968178034,0
"1",3,5,"None","Congruent","up","left",398.981666138794,0
"1",3,6,"Center","Congruent","up","left",382.105793657212,0
"1",3,7,"Double","Congruent","up","left",329.453917572378,0
"1",3,8,"Spatial","Congruent","up","left",347.901438620204,0
"1",3,9,"None","Incongruent","up","left",467.270767804059,0
"1",3,10,"Center","Incongruent","up","left",538.364363468632,0
"1",3,11,"Double","Incongruent","up","left",480.83537380086,1
"1",3,12,"Spatial","Incongruent","up","left",455.508711474761,0
"1",3,13,"None","Neutral","down","left",449.209267891317,0
"1",3,14,"Center","Neutral","down","left",464.108804025971,0
"1",3,15,"Double","Neutral","down","left",343.213177302551,0
"1",3,16,"Spatial","Neutral","down","left",316.917763481972,0
"1",3,17,"None","Congruent","down","left",501.614111927083,0
"1",3,18,"Center","Congruent","down","left",347.465182334482,0
"1",3,19,"Double","Congruent","down","left",364.630962819902,0
"1",3,20,"Spatial","Congruent","down","left",320.359603527901,1
"1",3,21,"None","Incongruent","down","left",484.000356572575,0
"1",3,22,"Center","Incongruent","down","left",436.044334851172,0
"1",3,23,"Double","Incongruent","down","left",469.709416563391,1
"1",3,24,"Spatial","Incongruent","down","left",401.13347588652,0
"1",3,25,"None","Neutral","up","right",404.702126894287,1
"1",3,26,"Center","Neutral","up","right",447.151941258521,0
"1",3,27,"Double","Neutral","up","right",364.271029572657,0
"1",3,28,"Spatial","Neutral","up","right",331.022173497831,0
"1",3,29,"None","Congruent","up","right",424.990462939322,0
"1",3,30,"Center","Congruent","up","right",415.63331535257,0
"1",3,31,"Double","Congruent","up","right",371.321779793684,0
"1",3,32,"Spatial","Congruent","up","right",338.118291426648,0
"1",3,33,"None","Incongruent","up","right",465.916976062217,0
"1",3,34,"Center","Incongruent","up","right",433.786486387684,0
"1",3,35,"Double","Incongruent","up","right",448.008022021726,0
"1",3,36,"Spatial","Incongruent","up","right",380.555275687017,0
"1",3,37,"None","Neutral","down","right",456.574809631629,0
"1",3,38,"Center","Neutral","down","right",304.080295910661,0
"1",3,39,"Double","Neutral","down","right",390.327893039488,0
"1",3,40,"Spatial","Neutral","down","right",263.177508823121,0
"1",3,41,"None","Congruent","down","right",414.951193658169,0
"1",3,42,"Center","Congruent","down","right",353.58600477775,0
"1",3,43,"Double","Congruent","down","right",342.39526096595,0
"1",3,44,"Spatial","Congruent","down","right",337.15516110763,0
"1",3,45,"None","Incongruent","down","right",404.282028715999,0
"1",3,46,"Center","Incongruent","down","right",508.829165600928,0
"1",3,47,"Double","Incongruent","down","right",361.7513781894,0
"1",3,48,"Spatial","Incongruent","down","right",386.823479926381,0
"1",4,1,"None","Neutral","up","left",374.203994747858,0
"1",4,2,"Center","Neutral","up","left",342.459049940328,0
"1",4,3,"Double","Neutral","up","left",479.358327281417,0
"1",4,4,"Spatial","Neutral","up","left",340.869780984663,0
"1",4,5,"None","Congruent","up","left",365.684973478284,0
"1",4,6,"Center","Congruent","up","left",297.969723279071,0
"1",4,7,"Double","Congruent","up","left",397.509355063633,0
"1",4,8,"Spatial","Congruent","up","left",339.072008364268,0
"1",4,9,"None","Incongruent","up","left",484.096581272808,0
"1",4,10,"Center","Incongruent","up","left",403.531892627315,0
"1",4,11,"Double","Incongruent","up","left",370.626984492926,0
"1",4,12,"Spatial","Incongruent","up","left",356.240385169216,0
"1",4,13,"None","Neutral","down","left",480.001440185696,0
"1",4,14,"Center","Neutral","down","left",348.936665260159,0
"1",4,15,"Double","Neutral","down","left",305.778657630775,0
"1",4,16,"Spatial","Neutral","down","left",433.464531121179,0
"1",4,17,"None","Congruent","down","left",451.255018868622,0
"1",4,18,"Center","Congruent","down","left",368.067644954348,0
"1",4,19,"Double","Congruent","down","left",427.924152435451,0
"1",4,20,"Spatial","Congruent","down","left",384.321132568747,0
"1",4,21,"None","Incongruent","down","left",469.037847588443,0
"1",4,22,"Center","Incongruent","down","left",560.305123227023,0
"1",4,23,"Double","Incongruent","down","left",432.248648492949,0
"1",4,24,"Spatial","Incongruent","down","left",338.77526748936,0
"1",4,25,"None","Neutral","up","right",422.780019902289,1
"1",4,26,"Center","Neutral","up","right",390.376916961617,0
"1",4,27,"Double","Neutral","up","right",490.398919952968,0
"1",4,28,"Spatial","Neutral","up","right",345.290118394686,0
"1",4,29,"None","Congruent","up","right",452.849940271171,0
"1",4,30,"Center","Congruent","up","right",376.142353232173,0
"1",4,31,"Double","Congruent","up","right",358.299957881673,0
"1",4,32,"Spatial","Congruent","up","right",338.263698584436,0
"1",4,33,"None","Incongruent","up","right",539.381980281508,0
"1",4,34,"Center","Incongruent","up","right",553.762250432614,0
"1",4,35,"Double","Incongruent","up","right",496.369621938188,0
"1",4,36,"Spatial","Incongruent","up","right",470.395419919335,0
"1",4,37,"None","Neutral","down","right",368.433828922098,1
"1",4,38,"Center","Neutral","down","right",429.194778502669,0
"1",4,39,"Double","Neutral","down","right",385.996240183033,0
"1",4,40,"Spatial","Neutral","down","right",266.637498545388,0
"1",4,41,"None","Congruent","down","right",456.051137132407,1
"1",4,42,"Center","Congruent","down","right",372.062269764199,0
"1",4,43,"Double","Congruent","down","right",448.22936559849,0
"1",4,44,"Spatial","Congruent","down","right",301.695900019767,0
"1",4,45,"None","Incongruent","down","right",478.489412303573,0
"1",4,46,"Center","Incongruent","down","right",403.694525131128,0
"1",4,47,"Double","Incongruent","down","right",436.144801928173,0
"1",4,48,"Spatial","Incongruent","down","right",430.100588974317,0
"1",5,1,"None","Neutral","up","left",393.41259134402,1
"1",5,2,"Center","Neutral","up","left",421.518658399084,0
"1",5,3,"Double","Neutral","up","left",314.595860684777,0
"1",5,4,"Spatial","Neutral","up","left",287.600779359613,0
"1",5,5,"None","Congruent","up","left",502.057885342214,0
"1",5,6,"Center","Congruent","up","left",329.207626734768,0
"1",5,7,"Double","Congruent","up","left",395.598735615876,0
"1",5,8,"Spatial","Congruent","up","left",320.946197444554,0
"1",5,9,"None","Incongruent","up","left",520.470091982547,0
"1",5,10,"Center","Incongruent","up","left",534.443664310202,0
"1",5,11,"Double","Incongruent","up","left",524.329421672099,0
"1",5,12,"Spatial","Incongruent","up","left",393.454609965862,0
"1",5,13,"None","Neutral","down","left",315.738223235377,1
"1",5,14,"Center","Neutral","down","left",504.883079491708,0
"1",5,15,"Double","Neutral","down","left",408.353308338275,0
"1",5,16,"Spatial","Neutral","down","left",367.066366798185,1
"1",5,17,"None","Congruent","down","left",429.330023842705,0
"1",5,18,"Center","Congruent","down","left",405.505421147646,0
"1",5,19,"Double","Congruent","down","left",366.781208411517,0
"1",5,20,"Spatial","Congruent","down","left",361.034732162726,1
"1",5,21,"None","Incongruent","down","left",479.987662801118,0
"1",5,22,"Center","Incongruent","down","left",381.489606122627,1
"1",5,23,"Double","Incongruent","down","left",494.391913372744,0
"1",5,24,"Spatial","Incongruent","down","left",485.987251274977,0
"1",5,25,"None","Neutral","up","right",414.562971538719,0
"1",5,26,"Center","Neutral","up","right",317.335512219615,0
"1",5,27,"Double","Neutral","up","right",407.112065283891,0
"1",5,28,"Spatial","Neutral","up","right",337.764543155301,0
"1",5,29,"None","Congruent","up","right",343.339079658758,0
"1",5,30,"Center","Congruent","up","right",380.106592984014,0
"1",5,31,"Double","Congruent","up","right",343.484983303593,0
"1",5,32,"Spatial","Congruent","up","right",322.95157100698,0
"1",5,33,"None","Incongruent","up","right",442.171381868207,0
"1",5,34,"Center","Incongruent","up","right",540.157095395873,0
"1",5,35,"Double","Incongruent","up","right",428.443398180439,0
"1",5,36,"Spatial","Incongruent","up","right",329.724329387346,0
"1",5,37,"None","Neutral","down","right",439.859671936974,0
"1",5,38,"Center","Neutral","down","right",393.158782320274,0
"1",5,39,"Double","Neutral","down","right",325.708664979535,0
"1",5,40,"Spatial","Neutral","down","right",195.553966416023,0
"1",5,41,"None","Congruent","down","right",397.975914871744,0
"1",5,42,"Center","Congruent","down","right",408.525381796024,0
"1",5,43,"Double","Congruent","down","right",372.01383619787,0
"1",5,44,"Spatial","Congruent","down","right",335.091062799738,0
"1",5,45,"None","Incongruent","down","right",528.041036431006,0
"1",5,46,"Center","Incongruent","down","right",390.677068071026,0
"1",5,47,"Double","Incongruent","down","right",499.838852213712,0
"1",5,48,"Spatial","Incongruent","down","right",409.732798586092,0
"1",6,1,"None","Neutral","up","left",465.365533369904,1
"1",6,2,"Center","Neutral","up","left",431.705386736873,0
"1",6,3,"Double","Neutral","up","left",386.174020745765,0
"1",6,4,"Spatial","Neutral","up","left",296.064619356699,0
"1",6,5,"None","Congruent","up","left",488.148227798367,0
"1",6,6,"Center","Congruent","up","left",279.991752760726,0
"1",6,7,"Double","Congruent","up","left",347.760462999914,0
"1",6,8,"Spatial","Congruent","up","left",327.216464542151,0
"1",6,9,"None","Incongruent","up","left",491.69394816175,0
"1",6,10,"Center","Incongruent","up","left",501.023195439205,0
"1",6,11,"Double","Incongruent","up","left",451.811094655139,0
"1",6,12,"Spatial","Incongruent","up","left",430.358380171192,0
"1",6,13,"None","Neutral","down","left",426.517259349355,0
"1",6,14,"Center","Neutral","down","left",367.616782919033,0
"1",6,15,"Double","Neutral","down","left",409.777540330982,0
"1",6,16,"Spatial","Neutral","down","left",397.31141786079,0
"1",6,17,"None","Congruent","down","left",309.845189255406,0
"1",6,18,"Center","Congruent","down","left",408.636977762292,0
"1",6,19,"Double","Congruent","down","left",393.736220338933,0
"1",6,20,"Spatial","Congruent","down","left",318.736613922196,0
"1",6,21,"None","Incongruent","down","left",547.550640378841,0
"1",6,22,"Center","Incongruent","down","left",430.538140914081,0
"1",6,23,"Double","Incongruent","down","left",430.783466910021,0
"1",6,24,"Spatial","Incongruent","down","left",452.87048890399,0
"1",6,25,"None","Neutral","up","right",515.98136495603,0
"1",6,26,"Center","Neutral","up","right",393.502745046861,0
"1",6,27,"Double","Neutral","up","right",353.890799510618,0
"1",6,28,"Spatial","Neutral","up","right",280.544335257021,0
"1",6,29,"None","Congruent","up","right",413.448351056049,1
"1",6,30,"Center","Congruent","up","right",333.008533674499,0
"1",6,31,"Double","Congruent","up","right",362.053370844061,0
"1",6,32,"Spatial","Congruent","up","right",359.718958411079,0
"1",6,33,"None","Incongruent","up","right",457.407145398807,0
"1",6,34,"Center","Incongruent","up","right",582.458344054744,0
"1",6,35,"Double","Incongruent","up","right",452.800583783254,0
"1",6,36,"Spatial","Incongruent","up","right",466.510363372747,0
"1",6,37,"None","Neutral","down","right",315.543801007995,0
"1",6,38,"Center","Neutral","down","right",417.050057859772,1
"1",6,39,"Double","Neutral","down","right",309.187741977422,0
"1",6,40,"Spatial","Neutral","down","right",385.990183880457,0
"1",6,41,"None","Congruent","down","right",449.906507772598,0
"1",6,42,"Center","Congruent","down","right",359.623571036511,1
"1",6,43,"Double","Congruent","down","right",441.212931508864,0
"1",6,44,"Spatial","Congruent","down","right",304.938416537654,0
"1",6,45,"None","Incongruent","down","right",470.969284787973,0
"1",6,46,"Center","Incongruent","down","right",399.946390948729,0
"1",6,47,"Double","Incongruent","down","right",411.59106966233,0
"1",6,48,"Spatial","Incongruent","down","right",457.259247668654,0
"2",1,1,"None","Neutral","up","left",451.685107477258,0
"2",1,2,"Center","Neutral","up","left",430.257960883852,0
"2",1,3,"Double","Neutral","up","left",355.494066797316,0
"2",1,4,"Spatial","Neutral","up","left",358.818514588732,0
"2",1,5,"None","Congruent","up","left",442.208246224325,0
"2",1,6,"Center","Congruent","up","left",308.687132880873,0
"2",1,7,"Double","Congruent","up","left",463.921464373773,0
"2",1,8,"Spatial","Congruent","up","left",346.722383046684,1
"2",1,9,"None","Incongruent","up","left",538.279949957893,0
"2",1,10,"Center","Incongruent","up","left",497.756833845449,0
"2",1,11,"Double","Incongruent","up","left",442.471714927886,0
"2",1,12,"Spatial","Incongruent","up","left",394.709229011651,0
"2",1,13,"None","Neutral","down","left",474.683685121276,0
"2",1,14,"Center","Neutral","down","left",327.635092546935,0
"2",1,15,"Double","Neutral","down","left",473.566869311208,0
"2",1,16,"Spatial","Neutral","down","left",320.818394685582,0
"2",1,17,"None","Congruent","down","left",512.707265113749,1
"2",1,18,"Center","Congruent","down","left",455.610634697532,0
"2",1,19,"Double","Congruent","down","left",379.148286679296,0
"2",1,20,"Spatial","Congruent","down","left",368.361045742575,0
"2",1,21,"None","Incongruent","down","left",448.772576023277,0
"2",1,22,"Center","Incongruent","down","left",466.150325151122,1
"2",1,23,"Double","Incongruent","down","left",497.180622917809,0
"2",1,24,"Spatial","Incongruent","down","left",414.95392434486,0
"2",1,25,"None","Neutral","up","right",407.293154542282,0
"2",1,26,"Center","Neutral","up","right",347.210907377478,0
"2",1,27,"Double","Neutral","up","right",373.203878868874,1
"2",1,28,"Spatial","Neutral","up","right",393.45807303384,0
"2",1,29,"None","Congruent","up","right",405.801253484936,0
"2",1,30,"Center","Congruent","up","right",373.949494433628,0
"2",1,31,"Double","Congruent","up","right",310.292999808958,0
"2",1,32,"Spatial","Congruent","up","right",364.715641800743,1
"2",1,33,"None","Incongruent","up","right",565.395076005707,0
"2",1,34,"Center","Incongruent","up","right",524.852050470139,0
"2",1,35,"Double","Incongruent","up","right",485.735136544868,0
"2",1,36,"Spatial","Incongruent","up","right",316.510560489869,0
"2",1,37,"None","Neutral","down","right",454.101475206188,0
"2",1,38,"Center","Neutral","down","right",402.80678016506,0
"2",1,39,"Double","Neutral","down","right",357.329985708504,0
"2",1,40,"Spatial","Neutral","down","right",348.524473547399,0
"2",1,41,"None","Congruent","down","right",386.798202293655,0
"2",1,42,"Center","Congruent","down","right",413.961538700783,0
"2",1,43,"Double","Congruent","down","right",358.644949267345,0
"2",1,44,"Spatial","Congruent","down","right",261.545890742802,0
"2",1,45,"None","Incongruent","down","right",481.627462191476,0
"2",1,46,"Center","Incongruent","down","right",518.221746453492,0
"2",1,47,"Double","Incongruent","down","right",428.285931763442,0
"2",1,48,"Spatial","Incongruent","down","right",446.637502110455,0
"2",2,1,"None","Neutral","up","left",477.329282009889,0
"2",2,2,"Center","Neutral","up","left",380.219935216319,0
"2",2,3,"Double","Neutral","up","left",357.383884722508,0
"2",2,4,"Spatial","Neutral","up","left",313.515224543325,0
"2",2,5,"None","Congruent","up","left",466.97946127874,0
"2",2,6,"Center","Congruent","up","left",326.827129225859,0
"2",2,7,"Double","Congruent","up","left",387.31054217682,1
"2",2,8,"Spatial","Congruent","up","left",325.525031671784,0
"2",2,9,"None","Incongruent","up","left",386.755532175603,0
"2",2,10,"Center","Incongruent","up","left",379.55747719634,0
"2",2,11,"Double","Incongruent","up","left",490.800966439629,0
"2",2,12,"Spatial","Incongruent","up","left",400.43605247324,0
"2",2,13,"None","Neutral","down","left",470.164160806682,0
"2",2,14,"Center","Neutral","down","left",474.37372316543,0
"2",2,15,"Double","Neutral","down","left",448.694059055457,0
"2",2,16,"Spatial","Neutral","down","left",373.86342461565,0
"2",2,17,"None","Congruent","down","left",448.998134328337,0
"2",2,18,"Center","Congruent","down","left",370.360078677133,0
"2",2,19,"Double","Congruent","down","left",453.89458974522,0
"2",2,20,"Spatial","Congruent","down","left",369.811705465923,1
"2",2,21,"None","Incongruent","down","left",441.321152956432,0
"2",2,22,"Center","Incongruent","down","left",442.217873255484,1
"2",2,23,"Double","Incongruent","down","left",349.054508986508,0
"2",2,24,"Spatial","Incongruent","down","left",400.237057694468,0
"2",2,25,"None","Neutral","up","right",300.383616502701,0
"2",2,26,"Center","Neutral","up","right",445.700108359903,0
"2",2,27,"Double","Neutral","up","right",343.222849948393,0
"2",2,28,"Spatial","Neutral","up","right",318.501058065291,0
"2",2,29,"None","Congruent","up","right",421.534083384902,0
"2",2,30,"Center","Congruent","up","right",410.610908699456,0
"2",2,31,"Double","Congruent","up","right",408.917008861135,0
"2",2,32,"Spatial","Congruent","up","right",368.397598623584,1
"2",2,33,"None","Incongruent","up","right",471.372869803694,0
"2",2,34,"Center","Incongruent","up","right",381.835437186083,0
"2",2,35,"Double","Incongruent","up","right",425.563887783105,0
"2",2,36,"Spatial","Incongruent","up","right",423.895706622527,0
"2",2,37,"None","Neutral","down","right",388.845943921399,0
"2",2,38,"Center","Neutral","down","right",376.557953276077,0
"2",2,39,"Double","Neutral","down","right",316.61688369351,0
"2",2,40,"Spatial","Neutral","down","right",339.58454928922,0
"2",2,41,"None","Congruent","down","right",436.44277007987,0
"2",2,42,"Center","Congruent","down","right",372.70621857695,0
"2",2,43,"Double","Congruent","down","right",366.804452163197,0
"2",2,44,"Spatial","Congruent","down","right",428.177600139246,0
"2",2,45,"None","Incongruent","down","right",538.129325620916,0
"2",2,46,"Center","Incongruent","down","right",505.571554036532,0
"2",2,47,"Double","Incongruent","down","right",398.839652358508,0
"2",2,48,"Spatial","Incongruent","down","right",418.217091921398,0
"2",3,1,"None","Neutral","up","left",487.741259354864,0
"2",3,2,"Center","Neutral","up","left",377.173928773676,0
"2",3,3,"Double","Neutral","up","left",268.531967588267,0
"2",3,4,"Spatial","Neutral","up","left",357.242288104973,0
"2",3,5,"None","Congruent","up","left",334.752227720724,0
"2",3,6,"Center","Congruent","up","left",339.441492342989,0
"2",3,7,"Double","Congruent","up","left",441.20021606498,1
"2",3,8,"Spatial","Congruent","up","left",370.781842465134,0
"2",3,9,"None","Incongruent","up","left",554.583447776768,0
"2",3,10,"Center","Incongruent","up","left",465.330243075682,0
"2",3,11,"Double","Incongruent","up","left",439.492061875857,0
"2",3,12,"Spatial","Incongruent","up","left",363.784361343636,0
"2",3,13,"None","Neutral","down","left",509.64568768596,0
"2",3,14,"Center","Neutral","down","left",382.250529906094,0
"2",3,15,"Double","Neutral","down","left",339.243579966606,0
"2",3,16,"Spatial","Neutral","down","left",383.261154985857,0
"2",3,17,"None","Congruent","down","left",483.722047913895,0
"2",3,18,"Center","Congruent","down","left",474.782738709929,0
"2",3,19,"Double","Congruent","down","left",344.850134819745,1
"2",3,20,"Spatial","Congruent","down","left",320.456608963843,0
"2",3,21,"None","Incongruent","down","left",479.18889842349,0
"2",3,22,"Center","Incongruent","down","left",431.21712885898,1
"2",3,23,"Double","Incongruent","down","left",426.668452714882,0
"2",3,24,"Spatial","Incongruent","down","left",395.216127364956,1
"2",3,25,"None","Neutral","up","right",502.091020509994,0
"2",3,26,"Center","Neutral","up","right",345.123085404348,1
"2",3,27,"Double","Neutral","up","right",355.591624703932,0
"2",3,28,"Spatial","Neutral","up","right",372.626822608576,1
"2",3,29,"None","Congruent","up","right",486.238622326756,0
"2",3,30,"Center","Congruent","up","right",341.394459848804,1
"2",3,31,"Double","Congruent","up","right",349.595689193086,0
"2",3,32,"Spatial","Congruent","up","right",366.181029524901,0
"2",3,33,"None","Incongruent","up","right",550.887711326899,1
"2",3,34,"Center","Incongruent","up","right",437.441770595601,1
"2",3,35,"Double","Incongruent","up","right",373.500327630569,0
"2",3,36,"Spatial","Incongruent","up","right",495.456051605044,0
"2",3,37,"None","Neutral","down","right",501.753478615581,1
"2",3,38,"Center","Neutral","down","right",344.481442707506,0
"2",3,39,"Double","Neutral","down","right",371.746621317221,0
"2",3,40,"Spatial","Neutral","down","right",252.026563231703,0
"2",3,41,"None","Congruent","down","right",458.486148590955,0
"2",3,42,"Center","Congruent","down","right",460.617339910089,0
"2",3,43,"Double","Congruent","down","right",293.135967644764,1
"2",3,44,"Spatial","Congruent","down","right",301.021574339913,0
"2",3,45,"None","Incongruent","down","right",467.941153312472,0
"2",3,46,"Center","Incongruent","down","right",415.943430321442,0
"2",3,47,"Double","Incongruent","down","right",343.335720219103,0
"2",3,48,"Spatial","Incongruent","down","right",435.048177962395,0
"2",4,1,"None","Neutral","up","left",353.410093001713,0
"2",4,2,"Center","Neutral","up","left",378.750118036087,0
"2",4,3,"Double","Neutral","up","left",404.649236051265,1
"2",4,4,"Spatial","Neutral","up","left",330.090228925768,1
"2",4,5,"None","Congruent","up","left",474.600419623676,0
"2",4,6,"Center","Congruent","up","left",378.714246454092,0
"2",4,7,"Double","Congruent","up","left",342.616977470717,0
"2",4,8,"Spatial","Congruent","up","left",372.317970751732,0
"2",4,9,"None","Incongruent","up","left",478.308362998521,0
"2",4,10,"Center","Incongruent","up","left",538.630559248925,0
"2",4,11,"Double","Incongruent","up","left",444.087014441849,0
"2",4,12,"Spatial","Incongruent","up","left",452.640749680027,0
"2",4,13,"None","Neutral","down","left",440.258145162201,0
"2",4,14,"Center","Neutral","down","left",229.597570053976,0
"2",4,15,"Double","Neutral","down","left",306.694403433551,0
"2",4,16,"Spatial","Neutral","down","left",318.794886992759,0
"2",4,17,"None","Congruent","down","left",441.840183187278,0
"2",4,18,"Center","Congruent","down","left",262.863843982052,0
"2",4,19,"Double","Congruent","down","left",423.084831669036,0
"2",4,20,"Spatial","Congruent","down","left",309.778713307278,0
"2",4,21,"None","Incongruent","down","left",462.356136031854,0
"2",4,22,"Center","Incongruent","down","left",372.219420372788,0
"2",4,23,"Double","Incongruent","down","left",372.305313099947,0
"2",4,24,"Spatial","Incongruent","down","left",412.81659180272,0
"2",4,25,"None","Neutral","up","right",455.468470333695,0
"2",4,26,"Center","Neutral","up","right",275.105852010785,0
"2",4,27,"Double","Neutral","up","right",324.781901027533,0
"2",4,28,"Spatial","Neutral","up","right",366.78858611263,0
"2",4,29,"None","Congruent","up","right",407.348145767504,0
"2",4,30,"Center","Congruent","up","right",488.268425090863,0
"2",4,31,"Double","Congruent","up","right",437.287333637405,0
"2",4,32,"Spatial","Congruent","up","right",369.77490170348,0
"2",4,33,"None","Incongruent","up","right",500.244222476909,0
"2",4,34,"Center","Incongruent","up","right",463.968039102763,0
"2",4,35,"Double","Incongruent","up","right",409.704693736619,0
"2",4,36,"Spatial","Incongruent","up","right",441.400857647862,0
"2",4,37,"None","Neutral","down","right",504.010698004285,0
"2",4,38,"Center","Neutral","down","right",434.171495504164,1
"2",4,39,"Double","Neutral","down","right",334.337787166795,0
