rt,group,direction,flank,cue,trial,error,subnum,block
583.2777431,Treatment,left,Congruent,Spatial,20,0,101,2
677.6626669,Treatment,left,Incongruent,None,21,0,101,2
728.6305835,Treatment,left,Incongruent,Center,22,0,101,2
638.7754764,Treatment,left,Incongruent,Double,23,0,101,2
544.5026785,Treatment,left,Incongruent,Spatial,24,0,101,2
630.5363177,Treatment,right,Neutral,None,25,0,101,2
503.2951184,Treatment,right,Neutral,Center,26,0,101,2
482.31833,Treatment,right,Neutral,Double,27,0,101,2
524.5723118,Treatment,right,Neutral,Spatial,28,0,101,2
577.8354063,Treatment,right,Congruent,None,29,0,101,2
550.0552676,Treatment,right,Congruent,Center,30,0,101,2
548.7170662,Treatment,right,Congruent,Double,31,1,101,2
480.5239527,Treatment,right,Congruent,Spatial,32,0,101,2
641.5665634,Treatment,right,Incongruent,None,33,0,101,2
613.2410692,Treatment,right,Incongruent,Center,34,0,101,2
673.9043498,Treatment,right,Incongruent,Double,35,0,101,2
503.82166,Treatment,right,Incongruent,Spatial,36,0,101,2
629.6973094,Treatment,right,Neutral,None,37,0,101,2
566.6475186,Treatment,right,Neutral,Center,38,0,101,2
598.1549919,Treatment,right,Neutral,Double,39,0,101,2
494.7908038,Treatment,right,Neutral,Spatial,40,0,101,2
618.5009405,Treatment,right,Congruent,None,41,0,101,2
563.3549395,Treatment,right,Congruent,Center,42,0,101,2
517.8739985,Treatment,right,Congruent,Double,43,0,101,2
570.3933903,Treatment,right,Congruent,Spatial,44,0,101,2
728.0201308,Treatment,right,Incongruent,None,45,0,101,2
655.0106825,Treatment,right,Incongruent,Center,46,0,101,2
694.3416727,Treatment,right,Incongruent,Double,47,0,101,2
607.9243213,Treatment,right,Incongruent,Spatial,48,0,101,2
536.1703896,Treatment,left,Neutral,None,1,0,101,3
521.3367293,Treatment,left,Neutral,Center,2,0,101,3
483.7693693,Treatment,left,Neutral,Double,3,0,101,3
486.3299682,Treatment,left,Neutral,Spatial,4,0,101,3
568.9816661,Treatment,left,Congruent,None,5,0,101,3
552.1057937,Treatment,left,Congruent,Center,6,0,101,3
499.4539176,Treatment,left,Congruent,Double,7,0,101,3
517.9014386,Treatment,left,Congruent,Spatial,8,0,101,3
637.2707678,Treatment,left,Incongruent,None,9,0,101,3
708.3643635,Treatment,left,Incongruent,Center,10,0,101,3
650.8353738,Treatment,left,Incongruent,Double,11,1,101,3
625.5087115,Treatment,left,Incongruent,Spatial,12,0,101,3
619.2092679,Treatment,left,Neutral,None,13,0,101,3
634.108804,Treatment,left,Neutral,Center,14,0,101,3
513.2131773,Treatment,left,Neutral,Double,15,0,101,3
486.9177635,Treatment,left,Neutral,Spatial,16,0,101,3
671.6141119,Treatment,left,Congruent,None,17,0,101,3
517.4651823,Treatment,left,Congruent,Center,18,0,101,3
534.6309628,Treatment,left,Congruent,Double,19,0,101,3
490.3596035,Treatment,left,Congruent,Spatial,20,1,101,3
654.0003566,Treatment,left,Incongruent,None,21,0,101,3
606.0443349,Treatment,left,Incongruent,Center,22,0,101,3
639.7094166,Treatment,left,Incongruent,Double,23,1,101,3
571.1334759,Treatment,left,Incongruent,Spatial,24,0,101,3
574.7021269,Treatment,right,Neutral,None,25,1,101,3
617.1519413,Treatment,right,Neutral,Center,26,0,101,3
534.2710296,Treatment,right,Neutral,Double,27,0,101,3
501.0221735,Treatment,right,Neutral,Spatial,28,0,101,3
594.9904629,Treatment,right,Congruent,None,29,0,101,3
585.6333154,Treatment,right,Congruent,Center,30,0,101,3
541.3217798,Treatment,right,Congruent,Double,31,0,101,3
508.1182914,Treatment,right,Congruent,Spatial,32,0,101,3
635.9169761,Treatment,right,Incongruent,None,33,0,101,3
603.7864864,Treatment,right,Incongruent,Center,34,0,101,3
618.008022,Treatment,right,Incongruent,Double,35,0,101,3
550.5552757,Treatment,right,Incongruent,Spatial,36,0,101,3
626.5748096,Treatment,right,Neutral,None,37,0,101,3
474.0802959,Treatment,right,Neutral,Center,38,0,101,3
560.327893,Treatment,right,Neutral,Double,39,0,101,3
433.1775088,Treatment,right,Neutral,Spatial,40,0,101,3
584.9511937,Treatment,right,Congruent,None,41,0,101,3
523.5860048,Treatment,right,Congruent,Center,42,0,101,3
512.395261,Treatment,right,Congruent,Double,43,0,101,3
507.1551611,Treatment,right,Congruent,Spatial,44,0,101,3
574.2820287,Treatment,right,Incongruent,None,45,0,101,3
678.8291656,Treatment,right,Incongruent,Center,46,0,101,3
531.7513782,Treatment,right,Incongruent,Double,47,0,101,3
556.8234799,Treatment,right,Incongruent,Spatial,48,0,101,3
544.2039947,Treatment,left,Neutral,None,1,0,101,4
512.4590499,Treatment,left,Neutral,Center,2,0,101,4
649.3583273,Treatment,left,Neutral,Double,3,0,101,4
510.869781,Treatment,left,Neutral,Spatial,4,0,101,4
535.6849735,Treatment,left,Congruent,None,5,0,101,4
467.9697233,Treatment,left,Congruent,Center,6,0,101,4
567.5093551,Treatment,left,Congruent,Double,7,0,101,4
509.0720084,Treatment,left,Congruent,Spatial,8,0,101,4
654.0965813,Treatment,left,Incongruent,None,9,0,101,4
573.5318926,Treatment,left,Incongruent,Center,10,0,101,4
540.6269845,Treatment,left,Incongruent,Double,11,0,101,4
526.2403852,Treatment,left,Incongruent,Spatial,12,0,101,4
650.0014402,Treatment,left,Neutral,None,13,0,101,4
518.9366653,Treatment,left,Neutral,Center,14,0,101,4
475.7786576,Treatment,left,Neutral,Double,15,0,101,4
603.4645311,Treatment,left,Neutral,Spatial,16,0,101,4
621.2550189,Treatment,left,Congruent,None,17,0,101,4
538.067645,Treatment,left,Congruent,Center,18,0,101,4
597.9241524,Treatment,left,Congruent,Double,19,0,101,4
554.3211326,Treatment,left,Congruent,Spatial,20,0,101,4
639.0378476,Treatment,left,Incongruent,None,21,0,101,4
730.3051232,Treatment,left,Incongruent,Center,22,0,101,4
602.2486485,Treatment,left,Incongruent,Double,23,0,101,4
508.7752675,Treatment,left,Incongruent,Spatial,24,0,101,4
592.7800199,Treatment,right,Neutral,None,25,1,101,4
560.376917,Treatment,right,Neutral,Center,26,0,101,4
660.39892,Treatment,right,Neutral,Double,27,0,101,4
515.2901184,Treatment,right,Neutral,Spatial,28,0,101,4
622.8499403,Treatment,right,Congruent,None,29,0,101,4
546.1423532,Treatment,right,Congruent,Center,30,0,101,4
528.2999579,Treatment,right,Congruent,Double,31,0,101,4
508.2636986,Treatment,right,Congruent,Spatial,32,0,101,4
709.3819803,Treatment,right,Incongruent,None,33,0,101,4
723.7622504,Treatment,right,Incongruent,Center,34,0,101,4
666.3696219,Treatment,right,Incongruent,Double,35,0,101,4
640.3954199,Treatment,right,Incongruent,Spatial,36,0,101,4
538.4338289,Treatment,right,Neutral,None,37,1,101,4
599.1947785,Treatment,right,Neutral,Center,38,0,101,4
555.9962402,Treatment,right,Neutral,Double,39,0,101,4
436.6374985,Treatment,right,Neutral,Spatial,40,0,101,4
626.0511371,Treatment,right,Congruent,None,41,1,101,4
542.0622698,Treatment,right,Congruent,Center,42,0,101,4
618.2293656,Treatment,right,Congruent,Double,43,0,101,4
471.6959,Treatment,right,Congruent,Spatial,44,0,101,4
648.4894123,Treatment,right,Incongruent,None,45,0,101,4
573.6945251,Treatment,right,Incongruent,Center,46,0,101,4
606.1448019,Treatment,right,Incongruent,Double,47,0,101,4
600.100589,Treatment,right,Incongruent,Spatial,48,0,101,4
563.4125913,Treatment,left,Neutral,None,1,1,101,5
591.5186584,Treatment,left,Neutral,Center,2,0,101,5
484.5958607,Treatment,left,Neutral,Double,3,0,101,5
457.6007794,Treatment,left,Neutral,Spatial,4,0,101,5
672.0578853,Treatment,left,Congruent,None,5,0,101,5
499.2076267,Treatment,left,Congruent,Center,6,0,101,5
565.5987356,Treatment,left,Congruent,Double,7,0,101,5
490.9461974,Treatment,left,Congruent,Spatial,8,0,101,5
690.470092,Treatment,left,Incongruent,None,9,0,101,5
704.4436643,Treatment,left,Incongruent,Center,10,0,101,5
694.3294217,Treatment,left,Incongruent,Double,11,0,101,5
563.45461,Treatment,left,Incongruent,Spatial,12,0,101,5
485.7382232,Treatment,left,Neutral,None,13,1,101,5
674.8830795,Treatment,left,Neutral,Center,14,0,101,5
578.3533083,Treatment,left,Neutral,Double,15,0,101,5
537.0663668,Treatment,left,Neutral,Spatial,16,1,101,5
599.3300238,Treatment,left,Congruent,None,17,0,101,5
575.5054211,Treatment,left,Congruent,Center,18,0,101,5
536.7812084,Treatment,left,Congruent,Double,19,0,101,5
531.0347322,Treatment,left,Congruent,Spatial,20,1,101,5
649.9876628,Treatment,left,Incongruent,None,21,0,101,5
551.4896061,Treatment,left,Incongruent,Center,22,1,101,5
664.3919134,Treatment,left,Incongruent,Double,23,0,101,5
655.9872513,Treatment,left,Incongruent,Spatial,24,0,101,5
584.5629715,Treatment,right,Neutral,None,25,0,101,5
487.3355122,Treatment,right,Neutral,Center,26,0,101,5
577.1120653,Treatment,right,Neutral,Double,27,0,101,5
507.7645432,Treatment,right,Neutral,Spatial,28,0,101,5
513.3390797,Treatment,right,Congruent,None,29,0,101,5
550.106593,Treatment,right,Congruent,Center,30,0,101,5
513.4849833,Treatment,right,Congruent,Double,31,0,101,5
492.951571,Treatment,right,Congruent,Spatial,32,0,101,5
612.1713819,Treatment,right,Incongruent,None,33,0,101,5
710.1570954,Treatment,right,Incongruent,Center,34,0,101,5
598.4433982,Treatment,right,Incongruent,Double,35,0,101,5
499.7243294,Treatment,right,Incongruent,Spatial,36,0,101,5
609.8596719,Treatment,right,Neutral,None,37,0,101,5
563.1587823,Treatment,right,Neutral,Center,38,0,101,5
495.708665,Treatment,right,Neutral,Double,39,0,101,5
365.5539664,Treatment,right,Neutral,Spatial,40,0,101,5
567.9759149,Treatment,right,Congruent,None,41,0,101,5
578.5253818,Treatment,right,Congruent,Center,42,0,101,5
542.0138362,Treatment,right,Congruent,Double,43,0,101,5
505.0910628,Treatment,right,Congruent,Spatial,44,0,101,5
698.0410364,Treatment,right,Incongruent,None,45,0,101,5
560.6770681,Treatment,right,Incongruent,Center,46,0,101,5
669.8388522,Treatment,right,Incongruent,Double,47,0,101,5
579.7327986,Treatment,right,Incongruent,Spatial,48,0,101,5
635.3655334,Treatment,left,Neutral,None,1,1,101,6
601.7053867,Treatment,left,Neutral,Center,2,0,101,6
556.1740207,Treatment,left,Neutral,Double,3,0,101,6
466.0646194,Treatment,left,Neutral,Spatial,4,0,101,6
658.1482278,Treatment,left,Congruent,None,5,0,101,6
449.9917528,Treatment,left,Congruent,Center,6,0,101,6
517.760463,Treatment,left,Congruent,Double,7,0,101,6
497.2164645,Treatment,left,Congruent,Spatial,8,0,101,6
661.6939482,Treatment,left,Incongruent,None,9,0,101,6
671.0231954,Treatment,left,Incongruent,Center,10,0,101,6
621.8110947,Treatment,left,Incongruent,Double,11,0,101,6
600.3583802,Treatment,left,Incongruent,Spatial,12,0,101,6
596.5172593,Treatment,left,Neutral,None,13,0,101,6
537.6167829,Treatment,left,Neutral,Center,14,0,101,6
579.7775403,Treatment,left,Neutral,Double,15,0,101,6
567.3114179,Treatment,left,Neutral,Spatial,16,0,101,6
479.8451893,Treatment,left,Congruent,None,17,0,101,6
578.6369778,Treatment,left,Congruent,Center,18,0,101,6
563.7362203,Treatment,left,Congruent,Double,19,0,101,6
488.7366139,Treatment,left,Congruent,Spatial,20,0,101,6
717.5506404,Treatment,left,Incongruent,None,21,0,101,6
600.5381409,Treatment,left,Incongruent,Center,22,0,101,6
600.7834669,Treatment,left,Incongruent,Double,23,0,101,6
622.8704889,Treatment,left,Incongruent,Spatial,24,0,101,6
685.981365,Treatment,right,Neutral,None,25,0,101,6
563.502745,Treatment,right,Neutral,Center,26,0,101,6
523.8907995,Treatment,right,Neutral,Double,27,0,101,6
450.5443353,Treatment,right,Neutral,Spatial,28,0,101,6
583.4483511,Treatment,right,Congruent,None,29,1,101,6
503.0085337,Treatment,right,Congruent,Center,30,0,101,6
532.0533708,Treatment,right,Congruent,Double,31,0,101,6
529.7189584,Treatment,right,Congruent,Spatial,32,0,101,6
627.4071454,Treatment,right,Incongruent,None,33,0,101,6
752.4583441,Treatment,right,Incongruent,Center,34,0,101,6
622.8005838,Treatment,right,Incongruent,Double,35,0,101,6
636.5103634,Treatment,right,Incongruent,Spatial,36,0,101,6
485.543801,Treatment,right,Neutral,None,37,0,101,6
587.0500579,Treatment,right,Neutral,Center,38,1,101,6
479.187742,Treatment,right,Neutral,Double,39,0,101,6
555.9901839,Treatment,right,Neutral,Spatial,40,0,101,6
619.9065078,Treatment,right,Congruent,None,41,0,101,6
529.623571,Treatment,right,Congruent,Center,42,1,101,6
611.2129315,Treatment,right,Congruent,Double,43,0,101,6
474.9384165,Treatment,right,Congruent,Spatial,44,0,101,6
640.9692848,Treatment,right,Incongruent,None,45,0,101,6
569.9463909,Treatment,right,Incongruent,Center,46,0,101,6
581.5910697,Treatment,right,Incongruent,Double,47,0,101,6
627.2592477,Treatment,right,Incongruent,Spatial,48,0,101,6
621.6851075,Treatment,left,Neutral,None,1,0,102,1
600.2579609,Treatment,left,Neutral,Center,2,0,102,1
525.4940668,Treatment,left,Neutral,Double,3,0,102,1
528.8185146,Treatment,left,Neutral,Spatial,4,0,102,1
612.2082462,Treatment,left,Congruent,None,5,0,102,1
478.6871329,Treatment,left,Congruent,Center,6,0,102,1
633.9214644,Treatment,left,Congruent,Double,7,0,102,1
516.722383,Treatment,left,Congruent,Spatial,8,1,102,1
708.27995,Treatment,left,Incongruent,None,9,0,102,1
667.7568338,Treatment,left,Incongruent,Center,10,0,102,1
612.4717149,Treatment,left,Incongruent,Double,11,0,102,1
564.709229,Treatment,left,Incongruent,Spatial,12,0,102,1
644.6836851,Treatment,left,Neutral,None,13,0,102,1
497.6350925,Treatment,left,Neutral,Center,14,0,102,1
643.5668693,Treatment,left,Neutral,Double,15,0,102,1
490.8183947,Treatment,left,Neutral,Spatial,16,0,102,1
682.7072651,Treatment,left,Congruent,None,17,1,102,1
625.6106347,Treatment,left,Congruent,Center,18,0,102,1
549.1482867,Treatment,left,Congruent,Double,19,0,102,1
538.3610457,Treatment,left,Congruent,Spatial,20,0,102,1
618.772576,Treatment,left,Incongruent,None,21,0,102,1
636.1503252,Treatment,left,Incongruent,Center,22,1,102,1
667.1806229,Treatment,left,Incongruent,Double,23,0,102,1
584.9539243,Treatment,left,Incongruent,Spatial,24,0,102,1
577.2931545,Treatment,right,Neutral,None,25,0,102,1
517.2109074,Treatment,right,Neutral,Center,26,0,102,1
543.2038789,Treatment,right,Neutral,Double,27,1,102,1
563.458073,Treatment,right,Neutral,Spatial,28,0,102,1
575.8012535,Treatment,right,Congruent,None,29,0,102,1
543.9494944,Treatment,right,Congruent,Center,30,0,102,1
480.2929998,Treatment,right,Congruent,Double,31,0,102,1
534.7156418,Treatment,right,Congruent,Spatial,32,1,102,1
735.395076,Treatment,right,Incongruent,None,33,0,102,1
694.8520505,Treatment,right,Incongruent,Center,34,0,102,1
655.7351365,Treatment,right,Incongruent,Double,35,0,102,1
486.5105605,Treatment,right,Incongruent,Spatial,36,0,102,1
624.1014752,Treatment,right,Neutral,None,37,0,102,1
572.8067802,Treatment,right,Neutral,Center,38,0,102,1
527.3299857,Treatment,right,Neutral,Double,39,0,102,1
518.5244735,Treatment,right,Neutral,Spatial,40,0,102,1
556.7982023,Treatment,right,Congruent,None,41,0,102,1
583.9615387,Treatment,right,Congruent,Center,42,0,102,1
528.6449493,Treatment,right,Congruent,Double,43,0,102,1
431.5458907,Treatment,right,Congruent,Spatial,44,0,102,1
651.6274622,Treatment,right,Incongruent,None,45,0,102,1
688.2217465,Treatment,right,Incongruent,Center,46,0,102,1
598.2859318,Treatment,right,Incongruent,Double,47,0,102,1
616.6375021,Treatment,right,Incongruent,Spatial,48,0,102,1
647.329282,Treatment,left,Neutral,None,1,0,102,2
550.2199352,Treatment,left,Neutral,Center,2,0,102,2
527.3838847,Treatment,left,Neutral,Double,3,0,102,2
483.5152245,Treatment,left,Neutral,Spatial,4,0,102,2
636.9794613,Treatment,left,Congruent,None,5,0,102,2
496.8271292,Treatment,left,Congruent,Center,6,0,102,2
557.3105422,Treatment,left,Congruent,Double,7,1,102,2
495.5250317,Treatment,left,Congruent,Spatial,8,0,102,2
556.7555322,Treatment,left,Incongruent,None,9,0,102,2
549.5574772,Treatment,left,Incongruent,Center,10,0,102,2
660.8009664,Treatment,left,Incongruent,Double,11,0,102,2
570.4360525,Treatment,left,Incongruent,Spatial,12,0,102,2
640.1641608,Treatment,left,Neutral,None,13,0,102,2
644.3737232,Treatment,left,Neutral,Center,14,0,102,2
618.6940591,Treatment,left,Neutral,Double,15,0,102,2
543.8634246,Treatment,left,Neutral,Spatial,16,0,102,2
618.9981343,Treatment,left,Congruent,None,17,0,102,2
540.3600787,Treatment,left,Congruent,Center,18,0,102,2
623.8945897,Treatment,left,Congruent,Double,19,0,102,2
539.8117055,Treatment,left,Congruent,Spatial,20,1,102,2
611.321153,Treatment,left,Incongruent,None,21,0,102,2
612.2178733,Treatment,left,Incongruent,Center,22,1,102,2
519.054509,Treatment,left,Incongruent,Double,23,0,102,2
570.2370577,Treatment,left,Incongruent,Spatial,24,0,102,2
470.3836165,Treatment,right,Neutral,None,25,0,102,2
615.7001084,Treatment,right,Neutral,Center,26,0,102,2
513.2228499,Treatment,right,Neutral,Double,27,0,102,2
488.5010581,Treatment,right,Neutral,Spatial,28,0,102,2
591.5340834,Treatment,right,Congruent,None,29,0,102,2
580.6109087,Treatment,right,Congruent,Center,30,0,102,2
578.9170089,Treatment,right,Congruent,Double,31,0,102,2
538.3975986,Treatment,right,Congruent,Spatial,32,1,102,2
641.3728698,Treatment,right,Incongruent,None,33,0,102,2
551.8354372,Treatment,right,Incongruent,Center,34,0,102,2
595.5638878,Treatment,right,Incongruent,Double,35,0,102,2
593.8957066,Treatment,right,Incongruent,Spatial,36,0,102,2
558.8459439,Treatment,right,Neutral,None,37,0,102,2
546.5579533,Treatment,right,Neutral,Center,38,0,102,2
486.6168837,Treatment,right,Neutral,Double,39,0,102,2
509.5845493,Treatment,right,Neutral,Spatial,40,0,102,2
606.4427701,Treatment,right,Congruent,None,41,0,102,2
542.7062186,Treatment,right,Congruent,Center,42,0,102,2
536.8044522,Treatment,right,Congruent,Double,43,0,102,2
598.1776001,Treatment,right,Congruent,Spatial,44,0,102,2
708.1293256,Treatment,right,Incongruent,None,45,0,102,2
675.571554,Treatment,right,Incongruent,Center,46,0,102,2
568.8396524,Treatment,right,Incongruent,Double,47,0,102,2
588.2170919,Treatment,right,Incongruent,Spatial,48,0,102,2
657.7412594,Treatment,left,Neutral,None,1,0,102,3
547.1739288,Treatment,left,Neutral,Center,2,0,102,3
438.5319676,Treatment,left,Neutral,Double,3,0,102,3
527.2422881,Treatment,left,Neutral,Spatial,4,0,102,3
504.7522277,Treatment,left,Congruent,None,5,0,102,3
509.4414923,Treatment,left,Congruent,Center,6,0,102,3
611.2002161,Treatment,left,Congruent,Double,7,1,102,3
540.7818425,Treatment,left,Congruent,Spatial,8,0,102,3
724.5834478,Treatment,left,Incongruent,None,9,0,102,3
635.3302431,Treatment,left,Incongruent,Center,10,0,102,3
609.4920619,Treatment,left,Incongruent,Double,11,0,102,3
533.7843613,Treatment,left,Incongruent,Spatial,12,0,102,3
679.6456877,Treatment,left,Neutral,None,13,0,102,3
552.2505299,Treatment,left,Neutral,Center,14,0,102,3
509.24358,Treatment,left,Neutral,Double,15,0,102,3
553.261155,Treatment,left,Neutral,Spatial,16,0,102,3
653.7220479,Treatment,left,Congruent,None,17,0,102,3
644.7827387,Treatment,left,Congruent,Center,18,0,102,3
514.8501348,Treatment,left,Congruent,Double,19,1,102,3
490.456609,Treatment,left,Congruent,Spatial,20,0,102,3
649.1888984,Treatment,left,Incongruent,None,21,0,102,3
601.2171289,Treatment,left,Incongruent,Center,22,1,102,3
596.6684527,Treatment,left,Incongruent,Double,23,0,102,3
565.2161274,Treatment,left,Incongruent,Spatial,24,1,102,3
672.0910205,Treatment,right,Neutral,None,25,0,102,3
515.1230854,Treatment,right,Neutral,Center,26,1,102,3
525.5916247,Treatment,right,Neutral,Double,27,0,102,3
542.6268226,Treatment,right,Neutral,Spatial,28,1,102,3
656.2386223,Treatment,right,Congruent,None,29,0,102,3
511.3944598,Treatment,right,Congruent,Center,30,1,102,3
519.5956892,Treatment,right,Congruent,Double,31,0,102,3
536.1810295,Treatment,right,Congruent,Spatial,32,0,102,3
720.8877113,Treatment,right,Incongruent,None,33,1,102,3
607.4417706,Treatment,right,Incongruent,Center,34,1,102,3
543.5003276,Treatment,right,Incongruent,Double,35,0,102,3
665.4560516,Treatment,right,Incongruent,Spatial,36,0,102,3
671.7534786,Treatment,right,Neutral,None,37,1,102,3
514.4814427,Treatment,right,Neutral,Center,38,0,102,3
541.7466213,Treatment,right,Neutral,Double,39,0,102,3
422.0265632,Treatment,right,Neutral,Spatial,40,0,102,3
628.4861486,Treatment,right,Congruent,None,41,0,102,3
630.6173399,Treatment,right,Congruent,Center,42,0,102,3
463.1359676,Treatment,right,Congruent,Double,43,1,102,3
471.0215743,Treatment,right,Congruent,Spatial,44,0,102,3
637.9411533,Treatment,right,Incongruent,None,45,0,102,3
585.9434303,Treatment,right,Incongruent,Center,46,0,102,3
513.3357202,Treatment,right,Incongruent,Double,47,0,102,3
605.048178,Treatment,right,Incongruent,Spatial,48,0,102,3
523.410093,Treatment,left,Neutral,None,1,0,102,4
548.750118,Treatment,left,Neutral,Center,2,0,102,4
574.6492361,Treatment,left,Neutral,Double,3,1,102,4
500.0902289,Treatment,left,Neutral,Spatial,4,1,102,4
644.6004196,Treatment,left,Congruent,None,5,0,102,4
548.7142465,Treatment,left,Congruent,Center,6,0,102,4
512.6169775,Treatment,left,Congruent,Double,7,0,102,4
542.3179708,Treatment,left,Congruent,Spatial,8,0,102,4
648.308363,Treatment,left,Incongruent,None,9,0,102,4
708.6305592,Treatment,left,Incongruent,Center,10,0,102,4
614.0870144,Treatment,left,Incongruent,Double,11,0,102,4
622.6407497,Treatment,left,Incongruent,Spatial,12,0,102,4
610.2581452,Treatment,left,Neutral,None,13,0,102,4
399.5975701,Treatment,left,Neutral,Center,14,0,102,4
476.6944034,Treatment,left,Neutral,Double,15,0,102,4
488.794887,Treatment,left,Neutral,Spatial,16,0,102,4
611.8401832,Treatment,left,Congruent,None,17,0,102,4
432.863844,Treatment,left,Congruent,Center,18,0,102,4
593.0848317,Treatment,left,Congruent,Double,19,0,102,4
479.7787133,Treatment,left,Congruent,Spatial,20,0,102,4
632.356136,Treatment,left,Incongruent,None,21,0,102,4
542.2194204,Treatment,left,Incongruent,Center,22,0,102,4
542.3053131,Treatment,left,Incongruent,Double,23,0,102,4
582.8165918,Treatment,left,Incongruent,Spatial,24,0,102,4
625.4684703,Treatment,right,Neutral,None,25,0,102,4
445.105852,Treatment,right,Neutral,Center,26,0,102,4
494.781901,Treatment,right,Neutral,Double,27,0,102,4
536.7885861,Treatment,right,Neutral,Spatial,28,0,102,4
577.3481458,Treatment,right,Congruent,None,29,0,102,4
658.2684251,Treatment,right,Congruent,Center,30,0,102,4
607.2873336,Treatment,right,Congruent,Double,31,0,102,4
539.7749017,Treatment,right,Congruent,Spatial,32,0,102,4
670.2442225,Treatment,right,Incongruent,None,33,0,102,4
633.9680391,Treatment,right,Incongruent,Center,34,0,102,4
579.7046937,Treatment,right,Incongruent,Double,35,0,102,4
611.4008576,Treatment,right,Incongruent,Spatial,36,0,102,4
674.010698,Treatment,right,Neutral,None,37,0,102,4
604.1714955,Treatment,right,Neutral,Center,38,1,102,4
504.3377872,Treatment,right,Neutral,Double,39,0,102,4
429.0561575,Treatment,right,Neutral,Spatial,40,0,102,4
594.517215,Treatment,right,Congruent,None,41,0,102,4
